,company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped,snapshot_in_window
48044,Aarogram,2020-01-01,https://www.aarogram.com,"Wilmington, Delaware, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Health Care, Insurance, Software",653067.0,"Aarogram operates in the healthcare industry, providing AI-powered solutions to improve efficiency in insurance verification, prior authorization, and patient cost estimation. The company's digital platform aids sleep centers and healthcare providers in managing their staff workflows and revenue cycle. Aarogram also offers an app that helps manage patient referrals and extend referral networks. Additionally, the company hosts 'The Efficient Care Podcast', which features discussions with healthcare experts, entrepreneurs, and thought leaders.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,43124,False,False
48116,The Public Health Company,2020-01-01,https://www.thepublichealthco.com,"Remote, Oregon, United States","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Biotechnology, Health Care, Machine Learning, SaaS, Software",655229.0,,51-100,0.0,,,0.0,,0.0,,51-100,Private,,,,,,6,4,2020,43188,False,False
48210,MatrixPoint Consulting,2019-01-01,https://www.thematrixpoint.com,"Irvine, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Professional Services, Sales and Marketing, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Consulting, CRM, Database, Marketing, Privacy",658141.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,5,2019,43269,False,False
48234,Pera AI,2020-01-01,http://pera.ai,"Charlotte, North Carolina, United States","Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Drones, Machine Learning, Robotics, Software",658957.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,4,2020,43290,False,False
48260,Wow AI,2019-01-01,https://wow-ai.com,"Newark, Delaware, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Database, Information Technology",659724.0,,51-100,0.0,,,0.0,,0.0,,51-100,Private,,,,,,6,5,2019,43312,False,False
48283,Wazo Artificial Intelligence,2019-01-01,https://wazoai.com,"Akron, Ohio, United States","Artificial Intelligence (AI), Data and Analytics, Privacy and Security, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Security",660330.0,"Wazo Artificial Intelligence utilizes object detection, classification, and recognition neural networks to power unparalleled situational awareness. They analyze trillions of data points per second and have an intuitive user interface to select and view relevant information. The system aggregates the data needed to optimize a business.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,43332,False,False
48398,"Atlantis Industries, Inc.",2021-01-01,http://www.atlantis-industries.com,"San Antonio, Texas, United States","Artificial Intelligence (AI), Data and Analytics, Manufacturing, Science and Engineering, Software","Aerospace, Artificial Intelligence (AI), Manufacturing",664103.0,"Atlantis Industries, Inc. is a 3D systems modeling, simulation, and engineering company powered by artificial intelligence. Founded 2020 and is based in San Antonio, Texas.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2021,43424,False,False
48404,Incivus,2021-01-01,https://incivus.ai/,"Wilmington, Delaware, United States","Advertising, Artificial Intelligence (AI), Data and Analytics, Design, Sales and Marketing, Science and Engineering, Software","Advertising, Artificial Intelligence (AI), Product Design",664203.0,,11-50,0.0,,,0.0,,0.0,2.0,11-50,Private,,,0.0,0.0,,6,3,2021,43429,False,False
48419,DialogFlows,2019-01-01,https://dialogflows.com,"Edison, New Jersey, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Chatbot, Software, Virtual Assistant",664592.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,43441,False,False
48444,SaleDrum,2022-01-01,https://saledrum.com,"Jersey City, New Jersey, United States","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Information Technology, Internet Services, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Direct Sales, E-Commerce, Information Technology, Internet, Marketplace, SaaS, Sales, Software",665280.0,"Boost your margins and organizational efficiency by setting up fulfillment preferences and pricing rules. Have full control over the automation by setting the pricing boundaries and monitoring user/price activity. Automatically keep your inventory, listings in sync within minutes across multiple marketplaces like Amazon, Walmart, eBay and Shopify",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,2,2022,43463,False,False
48450,Machine Vision Direct,2019-09-24,https://machinevisiondirect.com/,"Streamwood, Illinois, United States","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software","Artificial Intelligence (AI), Computer Vision, E-Commerce, Industrial Automation, Machine Learning, Manufacturing, Robotics",665512.0,"Machine Vision Direct is a B2B ecommerce platform for supplying the latest machine vision hardware, lensing, lighting, and cameras to startups and established companies",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,4,2019,43468,False,False
48475,Mentis Solutions,2020-01-01,https://mentissolutions.com,"Folsom, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), DevOps, Internet of Things, Software Engineering",666185.0,"Mentis Solutions company provides digital product engineering services. They provide cloud, mobility, internet of things, agile, application development, DevOps, AI, data, user experience design, and analytics. They offer services to state, local, and technology industries.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,4,2020,43491,False,False
48503,"Kooick, Inc.",2019-09-15,http://www.kooick.ai,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, Software",667035.0,"Kooick is reimagining vending by applying Vision-AI to transform ordinary coolers, freezers and cabinets into autonomous, Grab and Go mini-stores.  Kooick powered mini-stores take the friction out of vending.  Consumers have an ordinary browsing and purchasing process, augmented by interactive promotions with dynamic pricing.  Sellers use a flat shelf to freely sell and merchandise products, while receiving real-time purchasing data and unique consumer insights using image based data.  We have a team of leading experts in machine vision, hardware engineering, business software and IOT and a mission to bring state-of-the-art innovations to last-minute/last-mile B2C and B2B commercial platforms.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2019,43513,False,False
48527,Siegeworks Lab,2019-01-01,https://www.siegeworkslab.com,"Washington, District of Columbia, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology",667670.0,"Siegeworks Lab is a DaaS company. They involve in product development, threat analysis, darknet research, design, testing, engineering, fabrication, and property protection, as well as information operations capability concepting, innovation and experimentation, product management, cyber security consultation, and adversarial artificial intelligence.",11-50,1.0,Seed,2019-09-01,0.0,Seed,0.0,2.0,11-50,Private,,,,,,2,5,2019,43531,False,False
48546,DATAESG Solutions,2020-06-01,https://dataesg.com,"Lexington, Massachusetts, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Science and Engineering, Software","Artificial Intelligence (AI), Financial Services, Impact Investing, Machine Learning",668472.0,"We’ve built scalable machine learning and deep learning powered technology to provide Environmental, Social and Governance (ESG) data to money managers to help them generate excess returns and manage risks. By integrating ESG data into investment portfolios, we're able to outperform the market while also expressing our values across environmental and social issues. Our proprietary technology delivers us hundreds of thousands of ESG Data for thousands of companies with metrics specifically designed to generate alpha. Our data science team offers ESG data in formats preferred by professional investors such as API, excel, and python. These comprehensive tools allow users to pull data directly into their applications and spreadsheets. The datasets are GRI standardized and structured for consumption for professional investors.",11-50,1.0,Seed,2020-09-01,0.0,Pre-Seed,0.0,2.0,11-50,Private,,,,,,2,3,2020,43550,False,False
48574,MyLibrarian / In the Stacks,2018-07-28,http://www.inthestacks.tv,"San Francisco, California, United States","Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Science and Engineering, Software","Artificial Intelligence (AI), Big Data, Consumer Software, EBooks, Machine Learning, Publishing",669178.0,"Meet MyLibrarian—the modern way to browse for books. MyLibrarian is a ML/AI book discovery product that uses big data and expert librarian brains to disrupt a $40B industry. Let our MyLibrarian app and the Librarian Brain book recommendation engine find your next read for you. Booklovers join other readers on our librarian-curated platform, where they can join a freemium community or subscribe to be a part of our monthly book club. Currently in private beta, MyLibrarian / In the Stacks offers recommendation products, from a Librarian Brain database, with the power to suggest books using data-driven systems and expert human-curated data sets, providing the user with pleasantly surprising results.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,5,2018,43574,False,False
48686,NeuraFX,2021-10-01,https://www.neurafx.io,"Palo Alto, California, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software","Artificial Intelligence (AI), Finance, FinTech, Foreign Exchange Trading",672495.0,NeuraFX is an advanced auto-trading bot that uses artificial intelligence to trade currency pairs. NeuraFX has been designed to make trading more accessible and profitable for novice and experienced traders alike.,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,2,2021,43668,False,False
48698,Podnods,2020-04-01,https://www.podnods.com,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software","Artificial Intelligence (AI), Media and Entertainment, Podcast",673048.0,Podnods is an AI-based recommendation platform for listeners with audience growth support for podcasters.,1-10,0.0,M&A,,0.0,,0.0,,1-10,Private,,,,,,5,3,2020,43678,False,False
48782,Rectlabs,2022-05-06,https://rectlabs.com,"Wilmington, Delaware, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Artificial Intelligence (AI),675569.0,Enterprise-level AI for the industry,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,1,2022,43750,False,False
48795,Whetstone AI,2021-01-01,https://www.whetstone.ai/,"Cambridge, Massachusetts, United States","Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Computer, Software",675772.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2021,43760,False,False
48815,ScoutMine,2020-01-01,https://ScoutMine.com,"Pittsburgh, Pennsylvania, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Consulting, Finance, Machine Learning, SaaS, Software",676298.0,An AI based VC Scouting and Ranking Solution Platform to Scout and find some of the best startup Companies in the world.,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,4,2020,43779,False,False
48944,Deflamel,2019-06-25,https://deflamel.com,"New York, New York, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Design, Media and Entertainment, Science and Engineering, Software","Artificial Intelligence (AI), Graphic Design, Machine Learning, Media and Entertainment, Software, Web Apps",680547.0,Intelligent Design Solutions - Simplifying design process with creative artificial intelligence tools The main features of Deflamel for your creative needs: Automatic Content Generator - Create stunning designs in a couple of clicks using only text description. Smart Creative Tools - Use our AI solutions to make amazing designs quick and easy. Personalized ad design - Powerful tool for growing sales from machine learning prediction.,1-10,1.0,Seed,2019-09-01,0.0,Pre-Seed,0.0,,1-10,Private,,,,,,2,4,2019,43890,False,False
48957,Adaptif AI,2021-01-01,https://www.adaptif.ai/start,"Austin, Texas, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software","Artificial Intelligence (AI), Computer Vision, Enterprise Software, Industrial, Industrial Automation, Machine Learning, Software",680993.0,Adaptif AI is helping businesses to automate tasks and optimize operations leveraging deep learning techniques as well as cloud and edge computing.,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,43902,False,False
48959,MN Engineering Solutions,2020-01-01,https://mnengineeringsolutions.com,"Chicago, Illinois, United States","Artificial Intelligence (AI), Data and Analytics, Manufacturing, Science and Engineering, Software","Industrial Automation, Industrial Engineering, Predictive Analytics",681074.0,,11-50,0.0,,,0.0,,0.0,2.0,11-50,Private,,,,,,6,4,2020,43904,False,False
49043,Kato Medical,2022-01-01,https://katomed.ai,"Carlsbad, California, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Medical, Medical Device",683677.0,"Kato Medical is a healthcare company that is currently developing an automation platform for precision-sensitive tasks in spine surgery. The company believes in the potential for enhanced collaboration in the medical field. Kato Medical is pioneering surgical automation, aiming to revolutionize the way surgeries are performed. The company's focus is on creating a fully intradiscal TLIF construct with ALIF footprint, intradiscal fixation, and continuous adjustability. This innovative approach to medical procedures is designed to improve patient outcomes and streamline surgical processes.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,0.0,0.0,,6,2,2022,43981,False,False
49061,QuantumRhino,2019-01-01,https://quantumrhino.com,"Scottsdale, Arizona, United States","Artificial Intelligence (AI), Design, Hardware, Information Technology, Sales and Marketing, Software","Data Center, Digital Marketing, Robotic Process Automation (RPA), Software, Web Design",684231.0,,11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,5,2019,43994,False,False
49075,Fessex Consulting,2019-01-01,https://fessexconsulting.com,"Los Angeles, California, United States","Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Sales and Marketing, Software","Analytics, Management Consulting, Marketing Automation, Predictive Analytics, Professional Services",684652.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,44005,False,False
49088,MAI Therapeutics,2021-01-01,https://maitherapeutics.com,"East Lansing, Michigan, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Health Diagnostics, Therapeutics",685090.0,MAI Therapeutics engages in the design and development of a generative network platform based on mathematical artificial intelligence software to identify potential drugs.,1-10,1.0,Seed,2021-08-20,0.0,Pre-Seed,0.0,,1-10,Private,,,,,,2,3,2021,44016,False,False
49102,DeepRisk.ai,2019-01-17,https://deeprisk.ai/,"Irving, Texas, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Financial Services, FinTech, Information Technology, Software",685265.0,"DeepRisk.ai is the first end to end risk management platform for banks powered by patented state of the art artificial intelligence technology which transforms underwriting and real time transaction data into intuitive text insights, portfolio analytics and reporting.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,1.0,0.0,Computing; Calculating,6,5,2019,44028,False,False
49181,Data Secrets,2020-01-01,https://www.datasecrets.io,"Palo Alto, California, United States","Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Enterprise Software, Machine Learning, Risk Management, SaaS, Software",687657.0,"Data Secrets is a software company that offers application risk monitoring, management, and remediation solutions for business processes. The company tracks data lineage and data access across their entire environment using AI-based technology and real-time monitoring to stay ahead of their data governance risks. It enables businesses to get ahead of risks arising from cloud and SaaS applications, and APIs, using artificial intelligence.  Data Secrets was founded in 2020 and is headquartered in Palo Alto, California.",11-50,0.0,,,0.0,,0.0,2.0,11-50,Private,,,,,,6,4,2020,44094,False,False
49240,AlphaBits,2021-12-01,https://tastyalphabits.com,"Boston, Massachusetts, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Science and Engineering, Software","Artificial Intelligence (AI), FinTech, Machine Learning, Trading Platform",689198.0,"AlphaBits is bringing the tools of institutional investors into the hands of the retail investor. Through predictive market intelligence and alternative data, AlphaBits provides a simple and intuitive way for retail investors to make more sense of the market, harness unique investment opportunities, and drive better returns.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,2,2021,44139,False,False
49250,Zeppelin,2020-01-01,https://gozeppelin.com,"Redmond, Washington, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Business Intelligence, Data Integration",689553.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,44149,False,False
49286,Meraky Tech,2019-04-01,https://merakytech.com,"Washington, District of Columbia, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Software",690419.0,,11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,4,2019,44179,False,False
49307,Cambrya,2020-01-01,https://www.cambrya.co,"Austin, Texas, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Mobile, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Medical, Mobile Apps, Software",690970.0,"Cambrya is a technology company that offers a unique computing platform with endless applications. The platform's capabilities extend beyond audio applications, encompassing areas such as image and video processing, health tech, and neuroscience. This broad range of applications makes Cambrya a versatile player in the information technology industry. The company's platform is designed to be used by individuals, companies, or other legal entities, making it a flexible solution for a variety of needs.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,44196,False,False
49325,LittleMoochi,2019-01-01,https://littlemoochi.com,"Pittsburgh, Pennsylvania, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Mobile, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Mobile Apps",691476.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,44211,False,False
49329,Kodra Technologies,2021-01-01,https://kodra.ai,"Mountain View, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Software","Information Technology, Machine Learning, Software",691603.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2021,44214,False,False
49339,Parcell,2019-01-01,http://www.parcellplus.com,"Columbus, Ohio, United States","Artificial Intelligence (AI), Data and Analytics, Manufacturing, Science and Engineering, Software","Industrial Automation, Machine Learning, Machinery Manufacturing",691953.0,"Parcell develops tools for smart asset control and tracking in government, commercial, and industrial markets. They have a range of products that can be used as standalone or integrated solutions, such as smart lockers, smart containers, smart sensors, and smart software. It was founded in 2019.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,5,2019,44222,False,False
49372,SPRY,2021-01-01,https://sprypt.com,"Wilmington, Delaware, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Health Care, SaaS, Software",692825.0,,51-100,0.0,,,0.0,,0.0,,51-100,Private,,,,,,6,3,2021,44248,False,False
49390,StarApple AI,2019-12-30,http://starapple.ai/,"Miami, Florida, United States","Artificial Intelligence (AI), Data and Analytics, Design, Education, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Consumer Research, Market Research, Software, Training",693456.0,"WE USE ANALYTICS & A.I FOR SOCIAL GOOD AND BUSINESS VALUE CREATION We specialize in empowering MSMEs from emerging economies to make better decisions using Data, Analytics, AI and their Experience.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,4,2019,44262,False,False
49393,MLPro,2021-01-01,https://mlpro.io,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Machine Learning, Software",693582.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2021,44265,False,False
49403,EnviroAI,2019-01-01,https://www.enviro.ai/,"Houston, Texas, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning",693931.0,EnviroAI is building a platform that utilizes artificial intelligence to protect the environment.,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,44275,False,False
49445,Escher Capital,2020-09-01,https://www.escher-capital.com/,"Westport, Connecticut, United States","Artificial Intelligence (AI), Biotechnology, Blockchain and Cryptocurrency, Data and Analytics, Energy, Hardware, Health Care, Manufacturing, Other, Real Estate, Science and Engineering, Software, Sports, Sustainability, Transportation","Artificial Intelligence (AI), Biopharma, Blockchain, Electric Vehicle, Industrial Automation, Logistics, Real Estate, Renewable Energy, Robotics, Sports",694959.0,"Strategic Venture Capital fundraising and advisory for Venture Capital, Private Equity and Startup Founders with experience in a wide range of sectors including AI, Deep Tech, Climate Tech, Advanced Materials, Fintech and Health Tech. Have worked with everyone from Apple C-Suite to Seed Round Startup founders.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2020,44307,False,False
49491,xdFlo,2022-11-09,https://xdflo.com,"Camarillo, California, United States","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Productivity Tools, Project Management, SaaS, Software",696191.0,"xdFlo is a personalized productivity platform designed to empower businesses by improving their decision-making, speeding up the iteration process, optimizing resource utilization, and providing tailored project management tools. Their software is designed to cater to the unique requirements of each business, making it easy to integrate with existing systems and providing flexibility through artificial intelligence (Large Language Models/Multimodal Models).",1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,1,2022,44348,False,False
49545,Coopl,2020-01-01,https://coopl.co/,"Palo Alto, California, United States","Apps, Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Internet Services, Media and Entertainment, Mobile, Science and Engineering, Software","Artificial Intelligence (AI), Dating, Mobile Apps, Social Media, Software",697957.0,"A smart dating app helping users find new people, have deeper conversations to build more meaningful relationships and have higher level of well-being as the result. As example, Coopl features Dating Advisor that offers ready to send messages generated based on user profile, interests and previous interaction history.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,44398,False,False
49592,Eeve Corp,2020-01-01,https://www.eeve.ai/,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Design, Internet Services, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Human Computer Interaction, Marketing Automation, Online Portals",699395.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,44440,False,False
49599,Microchat,2022-01-01,https://microchat.io,"Gilbert, Arizona, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Apps, Artificial Intelligence (AI), Chatbot, Information Technology",699484.0,"Microchat is a company that specializes in the development of Conversational AI. Their main product is a chatbot service that is designed to help businesses scale and attract more customers. The chatbot can engage with website visitors, facilitating easy conversions. Microchat also offers a free trial of their service, allowing potential customers to test out the chatbot before committing to a purchase. In addition to their chatbot service, Microchat also provides support for users of the Web-based Microchat application. They also offer resources such as documentations and pricing plans to assist businesses in making informed decisions.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,2,2022,44446,False,False
49615,Hempchain,2019-05-01,http://hempchain.us/,"Austin, Texas, United States","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Community and Lifestyle, Data and Analytics, Food and Beverage, Health Care, Other, Science and Engineering, Software","Artificial Intelligence (AI), Blockchain, Cannabis, SaaS, Software",699956.0,"Hempchain unlocks the vast potential of the new $1T Industrial Hemp, CBD, and Hemp-based Industries Revolution.  Hempchain is a product developer, educator, supply chain, and marketplace for farmers, small businesses, enterprises, governments, universities, medical researchers, entrepreneurs, and consumers to learn, share, collaborate and conduct transactions. Hempchain generates revenue from licensing technology, services and transaction fees, and product sales. Hempchain uses Artificial Intelligence, Augmented Reality, Industrial Internet of Things, Robotics, multiple Blockchains, and Cryptocurrency for executing its mission.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2019,44459,False,False
49659,Aktiver,2020-08-01,https://www.aktiver.io,"Chicago, Illinois, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, Software",701414.0,Aktiver (Norwegian for Enable) is a solution that will revolutionize and supercharge the way data scientists get their work done. Our platform is generating upwards of 95% cost savings on cloud infrastructure and accelerating the full concept-to-production cycle as much as 100x.,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2020,44500,False,False
49720,Arrivu Technologies,2019-01-01,https://www.arrivu.com,"Alpharetta, Georgia, United States","Advertising, Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software","Advertising, Analytics, Artificial Intelligence (AI), Software",703064.0,"Arrivu Technologies is a voice/AI technology platform that creates solutions for digital marketers. Its first product, iStory, integrates Voice/AI, rich media (video, music), and analytics, enabling marketers to create engaging interactive content, cost-effectively. The company was founded in 2019 in Atlanta, Georgia. It aims to empower and enable human creative potential.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,44550,False,False
49754,SmartFox Technologies™,2020-03-01,https://www.smartfoxtechnologies.com/,"Wilmington, North Carolina, United States","Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Business Intelligence, Lead Management, Predictive Analytics, Sales, Software",703891.0,"SmartFox Technologies partnered with Salesforce™, the leading CRM software provider in the world to create SmartFox Prime©, the first-ever Business Forecast Management System. SmartFox Prime’s technology is fully integrated with Salesforce and uses controlled artificial intelligence (CAI) to help CRM users across the world save millions by fixing inaccurate sales forecasts and eliminating poor opportunity management.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,4,2020,44578,False,False
49767,QuickAI,2021-01-01,https://www.quickai.app,"Miami, Florida, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Business Intelligence, Software",704328.0,QuickAI is built by data scientists to make data science simple and accessible. It is a visual data science tool with an extreme focus on simplicity and ease of use.,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2021,44590,False,False
49789,Crash Saver,2022-06-29,https://crashsaverapp.com,"Miami, Florida, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Apps, Artificial Intelligence (AI), Consumer Applications",704887.0,"Crash Saver is an innovative application designed to prevent accidents and save lives on the roads.  It was founded in 2018 and is located in Miami, Florida.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,1,2022,44610,False,False
49835,Magical Industries LLC,2019-08-04,https://MagicalIndustries.com,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Chatbot, Machine Learning",706149.0,"AI, Ml, Knowledge Engineering, Avatars and ChatBots",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,4,2019,44649,False,False
49865,APAGO,2020-01-01,https://www.ap-ago.com,"Washington, District of Columbia, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Professional Services, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Business Development, Consulting, Cyber Security, Information Technology, Recruiting, Software",707025.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,44674,False,False
49874,KEA,2019-04-01,https://www.askkea.com/,"Nyack, New York, United States","Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software","Artificial Intelligence (AI), E-Learning",707156.0,"The world’s first-ever AI-powered learning experience platform that enables organizations and business leaders to transfer knowledge and quickly create engaging courses from existing content.  KEA auto generates content tags, questions & answers so assembling a course and managing content is automated and easy. Learners are fed customized content & course recommendations based on their specific knowledge gaps and content engagement while allowing them to consume content and complete courses anytime, anywhere, and at their own pace.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2019,44682,False,False
