,company,Founded Date,website,Headquarters Location,Industries,Number of Employees,CB Rank (Company),Full Description,Industry Groups,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,age,org_uuid,snapshot_in_window
923,Manta Network,2020-01-01,https://manta.network/,"Boston, Massachusetts, United States","Blockchain, Cryptocurrency",,"6,460",Manta Network delivers plug-and-play privacy for the entire DeFi stack.,"Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",1.0,Seed,2021-02-02,1100000.0,Seed,1100000.0,Private,,,,,,4,821,False
929,Checkmate,2022-01-01,http://joincheckmate.com,"San Francisco, California, United States","E-Commerce, Retail Technology, Shopping",11-50,"6,467","Checkmate is a smart shopping solution that gathers e-commerce data and helps customers save money. It serves as a dashboard and extension that puts users shopping in one place. Users can visualize the deals they get sent, their order history on websites, their current shipping packages, and loyalty points and then apply all of that info automatically while they are checkout.","Commerce and Shopping, Hardware, Software",2.0,Early Stage Venture,2023-05-25,15000000.0,Series A,20000000.0,Private,,,0.0,1.0,,2,822,False
931,Steadily,2020-08-16,https://www.steadily.com,"Austin, Texas, United States","Commercial Insurance, Insurance, InsurTech, Property Insurance",51-100,"6,470","Steadily’s landlord insurance offering accompanies Guesty's existing Damage Protection, which provides peace of mind for a wide range of potential damages caused by a guest. With Steadily’s property protection for possible damage caused by weather, fire, water, vandalism, and liability coverage for guest injuries and lawsuits. The new integration with Steadily adds to the substantial suite of existing tools on the Guesty platform, which includes communications, operations, growth, and financial solutions for short-term rental property managers.",Financial Services,3.0,Early Stage Venture,2023-07-05,28500000.0,Series B,54900000.0,Private,,,0.0,1.0,,3,823,False
2,Harmonic.ai,2020-01-01,https://www.harmonic.ai,"San Francisco, California, United States","Business Information Systems, Information Technology, Management Information Systems",11-50,"6,493","Harmonic connects entrepreneurs with the resources & capital they need to drive innovation. Harmonic's data engine provides insights into startups & professionals, allowing its users to identify opportunities using fresh company information. Harmonic was established in 2020 in San Francisco, California.",Information Technology,2.0,Early Stage Venture,2022-11-06,23000000.0,Series A,30000000.0,Private,,,,,,4,824,False
9,Ceras Ventures,2020-09-01,https://www.cerasvc.com/,"New York, New York, United States","Blockchain, Cryptocurrency, Financial Services, Venture Capital",1-10,"6,500",We are a global leading investment firm that focuses on the most disruptive start-ups and provides support to fast-growing Web 3.0 and blockchain companies. We invest in innovative ideas and protocols that pave the way for the future blockchain ecosystem.,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other, Payments, Software",1.0,Seed,2020-12-01,60000000.0,Pre-Seed,60000000.0,Private,,,,,,3,825,False
19,Five to Nine,2018-07-01,http://fivetonine.co,"Chicago, Illinois, United States","B2B, Communities, Employee Benefits, Millennials, Social, Software",11-50,"6,516",Five to Nine manages & evaluates virtual event programming so you can focus on building the employee experience.,"Administrative Services, Community and Lifestyle, Health Care, Other, Software",5.0,Seed,2022-04-13,4250000.0,Seed,5400000.0,Private,,,0,1.0,,5,826,False
29,Bluedot,2021-01-01,https://thebluedot.co,"San Francisco, California, United States","Automotive, Energy Management, Sharing Economy, Software, Transportation",11-50,"6,529","Bluedot is a marketplace where electric vehicles reach charging units and charger owners can share their spots with others. It is a software and hardware integrated system with a mobile application where charger owners can easily schedule and share charger and make money, while electric car owners reach all the chargers which are publicly and privately-owned.","Energy, Other, Software, Transportation",5.0,Seed,2023-06-29,5000000.0,Seed,7000000.0,Private,,,,,,3,827,False
32,Whisper Aero,2020-07-01,https://www.whisper.aero/,"Crossville, Tennessee, United States","Aerospace, Air Transportation, GreenTech",,"6,538","Whisper Aero is harnessing the power of air more cleanly, efficiently, and quietly than ever before. Whisper Aero is empowering a more compelling and connected future by creating cleaner, quieter, and more efficient propulsion solutions.","Science and Engineering, Sustainability, Transportation",2.0,Early Stage Venture,2023-04-18,32000000.0,Series A,39500000.0,Private,,,3,1.0,Hot-Gas Or Combustion-Product Engine Plants,3,828,False
34,BINARLY,2021-04-01,https://www.binarly.io/,"Santa Monica, California, United States","Artificial Intelligence, Cloud Security, Cyber Security, Data Center, Enterprise, Information Technology",11-50,"6,542","Binarly is a leading automated firmware supply chain security platform that offers unparalleled protection against a wide range of security threats. Our advanced technology leverages cutting-edge machine learning techniques to identify known and unknown vulnerabilities, misconfigurations, and malicious code in firmware. By proactively detecting and mitigating these risks, we help organizations minimize the potential impact of a security breach and ensure the safety of their connected ecosystem. The Binarly Transparency Platform is designed to identify vulnerabilities and malicious threats in code, seamlessly integrating as a security component of an SDLC or CI-CD pipeline or further down the supply chain. The platform takes security to the next level by adding dangerous misconfiguration checking at the device level, ensuring that organizations can effectively monitor and mitigate risks throughout the entire lifecycle of their devices. At Binarly, we understand that firmware supply chain security is a critical concern for organizations of all sizes. That's why we offer a comprehensive suite of services designed to address the full range of security risks, including deep vulnerability analysis and comprehensive software bill of materials (SBOM) solutions. Our platform is designed to be easy to use and integrates seamlessly with existing workflows, enabling organizations to quickly identify and address potential security threats with minimal disruption to their operations.","Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Other, Privacy and Security, Science and Engineering, Software",1.0,Seed,2022-06-22,3575003.0,Seed,3575003.0,Private,,,,,,3,829,False
38,Bolster AI,2019-03-01,https://bolster.ai,"Santa Clara, California, United States","Artificial Intelligence, Cyber Security, Machine Learning",51-100,"6,552","Bolster AI protects against phishing and scams across multiple channels, such as the open web, social media, app stores, and even the dark web. Bolster protects companies of all sizes, from startups to Fortune 500s. With a patented detection engine built for speed, scale, and accuracy, Bolster identifies online records, apps, and accounts infringing on your brand in milliseconds and automates their takedown with Large Language Models (LLMs) for instant response and reducing the need for manual review by over 80% RedMarlin’s team has more than 40 years of combined cybersecurity experience from industry-leading companies including Cisco, Symantec, and McAfee. Founded in 2017 and based in Los Altos, California,","Artificial Intelligence, Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",3.0,Early Stage Venture,2022-10-18,15000000.0,Series A,32000000.0,Private,,,3,0.0,,5,830,False
41,Actio Biosciences,2021-01-01,https://www.actiobiosciences.com,"San Diego, California, United States","Bioinformatics, Biotechnology, Genetics",11-50,"6,557",Actio Biosciences involves in the development of precision medicines for homogenous rare patient populations. They develop a pipeline of new medicines with the goal to enhance the probability of clinical success and deliver medicines for all patients.,"Biotechnology, Data and Analytics, Health Care, Science and Engineering",1.0,Early Stage Venture,2023-09-12,55000000.0,Series A,55000000.0,Private,,,,,,3,831,False
43,Nuvia,2019-01-01,https://nuviainc.com,"Santa Clara, California, United States","Data Center, Electronics, Information Technology, Semiconductor, Software",251-500,"6,560","Nuvia develops processors intended to create high-performance silicon design for a compute-intensive world. It designs processing chipsets for data center servers, thereby delivering a faster, power-efficient, and secure experience to existing data center processors.","Consumer Electronics, Hardware, Information Technology, Science and Engineering, Software",2.0,M&A,2020-09-24,240000000.0,Series B,293000000.0,Private,,,0,1.0,,5,832,False
45,Avadain,2021-01-01,https://avadaingraphene.com,"Eads, Tennessee, United States","Industrial, Manufacturing, Nanotechnology",1-10,"6,562","Avadain is a graphene flakes manufacturer. Adadain's technology uses a patented, environmentally friendly process to produce graphene flakes at a low cost.","Manufacturing, Science and Engineering",6.0,,2023-10-02,4495000.0,Equity Crowdfunding,11083000.0,Private,,,2,0.0,Inorganic Chemistry,3,833,False
47,Prodigal,2018-06-01,https://prodigaltech.com/,"Mountain View, California, United States","Artificial Intelligence, Finance, Machine Learning, Natural Language Processing, SaaS, Software",51-100,"6,567","Prodigal is the pioneer of consumer finance intelligence. We use artificial intelligence to illuminate conversations in loan servicing, collections, auto finance, banking, healthcare RCM, and more. Our solutions turn analysis into action with real-time agent assistance, automated notes, and quality assurance. Nearly one in five U.S. borrowers has engaged with Prodigal over 300 million conversations, and we won’t rest until every player in the loan lifecycle experiences the relief of better communication, context, and clarity.","Artificial Intelligence, Data and Analytics, Financial Services, Science and Engineering, Software",3.0,Early Stage Venture,2021-07-22,12000000.0,Series A,12120000.0,Private,,,,,,5,834,False
49,skan.ai,2018-09-18,https://www.skan.ai,"San Jose, California, United States",Artificial Intelligence,1-10,"6,571","Skan.ai uses cognitive technologies to map, model, and manage business processes by creating digital twins of human/digital interactions. Skan.ai replaces human interviews and observation, which are not accurate, by cognitive tooling that learns based on observation of human/digital work. Skan does this at scale and learns / reconstructs business processes grounds up. This approach is significantly faster, more accurate, and has much greater depth and coverage.","Artificial Intelligence, Data and Analytics, Science and Engineering, Software",3.0,Early Stage Venture,2022-03-30,40000000.0,Series B,54000000.0,Private,,,2,1.0,,5,835,False
50,LootMogul,2020-09-14,https://lootmogul.com,"Santa Monica, California, United States","Blockchain, Fantasy Sports, Gaming, Media and Entertainment, Virtual Reality",11-50,"6,572","LootMogul is an athlete-led sports metaverse web3 platform that uses blockchain games, meta stores for brands and players, and virtual homes and training facilities to provide in-real-life (IRL) prizes. The company's goal is to empower folks with the ability to earn and hold digital assets that can exist within or outside of any game. LootMogul was founded in 2020 by Raj Rajkotia and Kuntal Sampat.","Blockchain and Cryptocurrency, Gaming, Hardware, Media and Entertainment, Other, Software, Sports",3.0,,2022-09-16,200000000.0,Venture - Series Unknown,209955000.0,Private,,,,,,3,836,False
52,Navier,2019-01-01,https://www.navierboat.com/,"San Francisco, California, United States","Boating, Fleet Management, Marine Transportation",1-10,"6,576",Navier's goal is to build a new kind of watercraft that cuts the running cost of a marine vessel.,"Sports, Transportation",2.0,Seed,2022-02-07,7200000.0,Seed,7200000.0,Private,,,,,,5,837,False
56,HUMBL,2019-01-01,https://www.humblpay.com,"San Diego, California, United States","Financial Services, FinTech, Mobile Payments, Software",11-50,"6,582","HUMBL provides merchant services software that is being developed to accommodate the migration by governments to digital forms of their national currency, as well as key functions like cross-border remittance, foreign exchange, bill payment, and lending products from smartphones.","Financial Services, Mobile, Payments, Software",3.0,IPO,2023-05-10,20000000.0,Post-IPO Equity,20100000.0,Public,2020-11-11,,,,,5,838,False
63,Salient Predictions,2019-01-01,https://www.salientpredictions.com/,"Cambridge, Massachusetts, United States",Software,1-10,"6,594","Salient Predictions creates a weather intelligence platform that combines novel ocean and land-surface data with machine learning and climate expertise to provide accurate subseasonal-to-seasonal weather forecasts 2 to 52 weeks ahead. Salient Predictions' tools sift through large datasets to identify complex climate system relationships in order to provide accurate forecasts used in agriculture, energy, finance, supply chain, and other industries. Salient Predictions utilizes scientific knowledge to assist individuals and organizations in better understanding and preparing for the increasing volatility of climate change.",Software,5.0,,2023-10-10,2900000.0,Grant,8547187.0,Private,,,,,,5,839,False
64,Bellway,2020-01-01,https://getbellway.com/,"New York, New York, United States","Consumer Goods, Food and Beverage",11-50,"6,595",Bellway offers natural fiber supplements that promote healthy digestion and are made with organic ingredients and no sugar.,"Consumer Goods, Food and Beverage",2.0,,2022-11-09,8211853.0,Venture - Series Unknown,8211853.0,Private,,,0,2.0,,4,840,False
66,River,2019-02-21,https://river.com,"Columbus, Ohio, United States","Bitcoin, Blockchain, Cryptocurrency, Financial Exchanges, Financial Services, FinTech",51-100,"6,597","River Financial is a challenger financial institution specializing in Bitcoin financial services. River Financial's flagship product, a Bitcoin brokerage, provides sophisticated retail investors with a high-touch platform to buy and sell Bitcoin. Founded in 2019 by Alexander Leishman and Andrew Benson, River's brokerage product provides its clients with best-in-class security, a world-class client service experience, and investment performance tools such as cost basis tracking.","Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other, Payments, Software",3.0,Early Stage Venture,2023-05-16,35000000.0,Series B,52700000.0,Private,,,0,2.0,,5,841,False
67,Epoch,2019-01-01,https://epochapp.com,"San Francisco, California, United States","Human Resources, Information Services, Office Administration, Scheduling, Software",11-50,"6,598","Epoch is a software application that automates virtual and in-person internal events to enable employee experiences. The company was founded in 2018 and is headquartered in Kitchener, Ontario, Canada.","Administrative Services, Information Technology, Software",6.0,Seed,2022-02-24,3600000.0,Seed,4680252.0,Private,,,,,,5,842,False
69,Revio,2019-01-11,https://www.getrevio.ai,"Austin, Texas, United States","Analytics, Artificial Intelligence, Business Intelligence, Financial Services, FinTech",1-10,"6,600","Revio provides a purpose-built technology that enables community and regional banks to make sense of core transactional data by identifying additional revenue opportunities from existing customers and matching their specific needs with highly targeted sales and marketing strategies. The company was founded in 2019 and is based in Austin, Texas.","Artificial Intelligence, Data and Analytics, Financial Services, Science and Engineering, Software",3.0,Early Stage Venture,2023-10-03,2500000.0,Series A,22079574.0,Private,,,,,,5,843,False
70,Moment,2022-01-01,https://www.withmoment.com/,"New York, New York, United States","Analytics, Financial Services, FinTech, Risk Management",1-10,"6,601","Moment is an operator of a fixed-income infrastructure for modern firms. The company's goal is to deliver modern fixed-income solutions to global fintechs, traditional brokerages, and registered investment advisors to make markets more equitable and accessible.","Data and Analytics, Financial Services, Professional Services",2.0,Early Stage Venture,2023-09-14,17000000.0,Series A,20000000.0,Private,,,,,,2,844,False
71,Pandion,2020-01-01,https://www.pandionpro.com/,"Seattle, Washington, United States","E-Commerce, Logistics, Retail",51-100,"6,602","Pandion has developed a technology platform for e-commerce players to manage capacity problems during peak periods. The logistics platform helps all businesses provide one and two-day shipping, and makes on-time delivery possible for more retailers, regardless of size and scale. Pandion’s delivery management software uses machine learning to avoid shipping delays and optimize delivery networks.","Commerce and Shopping, Transportation",2.0,Early Stage Venture,2021-10-05,30000000.0,Series A,34900000.0,Private,,,,,,4,845,False
75,Topline Pro,2020-01-01,https://www.toplinepro.com,"New York, New York, United States","Internet, Mobile Apps, Software, Unified Communications",11-50,"6,609",Topline Pro is a digital marketplace that provides home services to businesses. It empowers small home service business owners to move online and control their online presence automatically. Topline Pro enables businesses to grow their business and optimize the time they spend running their business.,"Apps, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software",3.0,Early Stage Venture,2023-07-31,12000000.0,Series A,17000000.0,Private,,,,,,4,846,False
80,Treeline Biosciences,2021-01-01,https://treeline.bio,"Stamford, Connecticut, United States","Biotechnology, Health Care, Life Science, Medical",101-250,"6,620","Treeline Biosciences is a biotech company building transformative precision medicines for patients with cancer and other serious conditions. The company was founded in 2021 and is headquartered in Stamford, Connecticut.","Biotechnology, Health Care, Science and Engineering",2.0,Early Stage Venture,2022-10-11,261266523.0,Series A,473266523.0,Private,,,0,1.0,,3,847,False
90,Living Carbon,2019-01-01,https://www.livingcarbon.com,"San Francisco, California, United States","Biotechnology, Forestry, Life Science, Natural Resources",11-50,"6,641","The goal of the public benefit corporation Living Carbon is to restore equilibrium to the planet's metabolic process. We address this urgency by fusing cutting-edge biotechnology with plants' natural ability to capture and store carbon. Living Carbon is a public benefit corporation with the goal of rebalancing the planet's metabolic system. In order to fulfill this need, tey combine cutting-edge biotechnology with plants' natural ability to capture and store carbon. The company was established in 2019 by Maddie Hall and Patrick Mellor in San Francisco, California.","Agriculture and Farming, Biotechnology, Natural Resources, Science and Engineering, Sustainability",5.0,Early Stage Venture,2023-01-17,21000000.0,Series A,36000000.0,Private,,,,,,5,848,False
91,WalletConnect,2021-04-08,https://walletconnect.com/,"Newark, Delaware, United States","Cryptocurrency, Ethereum, Internet",1-10,"6,643","WalletConnect is an open source standard for connecting desktop Dapps to mobile wallets using end-to-end encryption by scanning a QR code. It is a simple infrastructure that can be set up by any developer using a bridge server to relay the messages without having access to any of their contents. The contents are encrypted using the session data shared by the QR code between desktop and mobile. It was founded in 2021 and is based in Newark, Delaware, United States.","Blockchain and Cryptocurrency, Financial Services, Internet Services, Other, Payments, Software",3.0,,2022-11-03,12500000.0,Venture - Series Unknown,25000000.0,Private,,,0,2.0,,3,849,False
92,J4.Ventures,2021-12-01,https://j4.ventures,"New York, New York, United States","Information Technology, Internet, Software",1-10,"6,644",,"Information Technology, Internet Services, Software",1.0,,2023-10-12,109607.0,Post-IPO Equity,109607.0,Private,,,,,,2,850,False
97,Cacheflow,2021-01-01,https://getcacheflow.com,"San Francisco, California, United States","B2B, FinTech, Payments, SaaS, Sales",11-50,"6,651","Cacheflow is a zero-code SaaS sales platform that automates proposal-to-payment with easy-to-use. The company's solution simplifies the SaaS sales flow, integrating it into a single, no-code platform. It lets sales teams generate dynamic quotes in seconds and streamlines the buying process with simple configuration, interactive B2C-style checkout, and integrated payments.  Cacheflow was founded in 2021 and is based in San Francisco, California.","Financial Services, Other, Payments, Sales and Marketing, Software",2.0,Seed,2022-12-06,10000000.0,Seed,16000000.0,Private,,,,,,3,851,False
98,Healthee,2018-12-17,https://healthee.co,"New York, New York, United States","Artificial Intelligence, Consulting, Fitness, Health Care, InsurTech, Medical, Wellness",11-50,"6,652","Healthee is an AI-powered digital platform that allows employees to utilize their health benefits and coverage. It provides employees on-the-spot answers to their health coverage and benefits questions, helps them find lower-cost providers, and lets them know about relevant preventive care benefits to ensure they are healthier.","Artificial Intelligence, Data and Analytics, Financial Services, Health Care, Professional Services, Science and Engineering, Software, Sports",4.0,Seed,2022-04-04,,Non-equity Assistance,23500000.0,Private,,,,,,5,852,False
101,Cerence,2019-01-01,https://www.cerence.com/,"Burlington, Massachusetts, United States","Automotive, Industrial, Industrial Automation",1001-5000,"6,659","Cerence is a software company that is involved in developing mobility-based solutions for drivers and their cars. The customers include automobile original equipment manufacturers, or OEMs.","Manufacturing, Science and Engineering, Transportation",2.0,IPO,2023-06-22,190000000.0,Post-IPO Debt,190000000.0,Public,2019-10-01,,347,0.0,Musical Instruments; Acoustics,5,853,False
104,HypeLab,2022-01-01,https://www.hypelab.com,"San Francisco, California, United States","Ad Network, Advertising, Digital Media, Information Technology",1-10,"6,664",HypeLab is a web3 ads network using on-chain data for ads personalization and targeting. We help web3 companies monetize their platforms via ads and provide a scalable user acquisition channel for advertisers.,"Advertising, Information Technology, Media and Entertainment, Sales and Marketing",2.0,Seed,2023-10-24,200000.0,Seed,4200000.0,Private,,,,,,2,854,False
124,Entitle,2021-01-01,https://entitle.io,"New York, New York, United States","Cloud Infrastructure, Cloud Management, Cloud Security, Cyber Security, Identity Management, Information Technology, IT Infrastructure, SaaS, Software",11-50,"6,702","Entitle provides a seamless way to grant employees granular and just-in-time access within cloud infra and SaaS. It provides centralized entitlement visibility, self-serve access, and automated policy enforcement and access reviews. Security teams find this invaluable for ensuring every admin escalation is short-lived, break-glass production access, revoking permissions from vendors when their contract expires, making customer data accessible only when a support ticket is opened and so on. Learn more at www.entitle.io","Hardware, Information Technology, Internet Services, Privacy and Security, Software",1.0,Seed,2023-02-22,15000000.0,Seed,15000000.0,Private,,,,,,3,855,False
126,Luma,2020-03-31,https://lu.ma,"San Francisco, California, United States","Event Management, Media and Entertainment, Software, Video Conferencing",1-10,"6,704","Luma provides a platform for people to host virtual classes, record live shows, educate, and find their communities via Zoom. They host delightful Zoom events and promote the event, manage attendees, and sell tickets. It was incorporated in 2020 and is based in San Francisco, California.","Events, Hardware, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Software",1.0,Seed,2020-12-07,3000000.0,Seed,3000000.0,Private,,,0,3.0,,4,856,False
130,Metronome,2020-01-01,https://metronome.com,"San Francisco, California, United States","Business Intelligence, Consulting, Information Technology, Software",,"6,710","Metronome helps software companies launch, iterate, and scale their business models, with billing infrastructure that works at any size and stage. Push your data into Metronome and rapidly iterate on your evolving business model without rearchitecting billing or rewriting code. The company's software ensures appropriate data infrastructure, billing logic, and real-time architecture for usage-based billing, as well as flexible integration patterns, assisting software companies in launching, iterating, and scaling usage-based business models.","Data and Analytics, Information Technology, Professional Services, Software",2.0,Early Stage Venture,2022-02-01,30000000.0,Series A,35000000.0,Private,,,,,,4,857,False
135,Exostellar,2019-01-01,https://exostellar.io,"Ithaca, New York, United States",,11-50,"6,719",Exotanium provides a platform that enables users to enhance cloud computing for greater cost efficiency by utilising its exclusive licence to patent-pending technologies created at Cornell University and combining artificial intelligence and machine learning.,,6.0,Early Stage Venture,2023-09-13,15000000.0,Series A,34005967.0,Private,,,0,0.0,,5,858,False
136,Angle Health,2019-01-01,https://www.anglehealth.com,"San Francisco, California, United States","Health Care, Health Insurance, Insurance",1-10,"6,720",Angle Health delivers the modern health insurance tech platform as well as health care plans for startups.,"Financial Services, Health Care",3.0,Early Stage Venture,2023-01-25,58000000.0,Series A,62000000.0,Private,,,0,0.0,,5,859,False
148,SafeBase,2020-01-01,https://safebase.io,"San Francisco, California, United States","Cloud Security, Cyber Security, Network Security, Sales Automation",11-50,"6,740","Our Smart Trust Center makes it easy to build trust with current and prospective customers. Answer security questions, showcase your security posture, and share sensitive documents—all in one place.","Information Technology, Privacy and Security, Sales and Marketing, Software",4.0,Early Stage Venture,2022-03-10,18000000.0,Series A,20125000.0,Private,,,0,1.0,,4,860,False
152,Nectar AI,2023-05-30,https://trynectar.io,"Seattle, Washington, United States","Artificial Intelligence, E-Commerce, Marketing Automation, Retail, Software",1-10,"6,745",Nectar is an AI powered social commerce platform that helps brands scale comms and drive conversions through messaging.,"Artificial Intelligence, Commerce and Shopping, Data and Analytics, Sales and Marketing, Science and Engineering, Software",1.0,Seed,2023-10-26,2000000.0,Pre-Seed,2000000.0,Private,,,,,,0,861,False
160,Roots Automation,2018-10-01,http://www.rootsautomation.com,"New York, New York, United States","Information Technology, Robotics, SaaS",11-50,"6,756","Roots Automation is a digital coworkers-as-a-service company that provides an end–to–end automation solutions for companies. The company's Digital Coworkers complete common business tasks - accounts payable, employee onboarding, processing claims, to name a few - and interact with their human teammates to share progress, ask for help, and get smarter as a result. It makes it easy for companies to start their digital transformation with zero integration and a budget-friendly subscription model. Roots Automation was founded in 2018 and is based in New York, NY, USA.","Hardware, Information Technology, Science and Engineering, Software",5.0,Early Stage Venture,2022-11-01,10000000.0,Series A,21750000.0,Private,,,1,3.0,Computing; Calculating,5,862,False
161,Compiify,2023-01-01,https://compiify.com/owner,"San Francisco, California, United States","Billing, Data Center Automation, Employee Benefits",1-10,"6,757",Compiify is a compensation intelligence platform that helps businesses attract and retain employees by enabling them to make data-driven and equitable pay decisions. Creator and Owner Carlos Alberto Sacaza Palacio.,"Administrative Services, Hardware, Health Care, Information Technology, Payments, Software",2.0,Seed,2023-10-24,3900000.0,Seed,4900000.0,Private,,,,,,1,863,False
164,AstroForge,2021-01-01,https://www.astroforge.io/,"Huntington Beach, California, United States","Mining, Mining Technology, Space Travel",1-10,"6,760","AstroForge is an asteroid mining company. Instead of bringing back the entire asteroid, break it up, refine it, and return only what’s valuable.  It was founded in 2021 and headquartered in Huntington Beach, California.","Natural Resources, Transportation",2.0,Seed,2022-05-26,13000000.0,Seed,13000000.0,Private,,,,,,3,864,False
172,Reclaim.ai,2019-06-26,https://reclaim.ai,"Portland, Oregon, United States","Enterprise Software, Product Management, Productivity Tools, Software",11-50,"6,773","Managing your calendar and defending your time is a full-time job. We believe that it shouldn't be hard for you to keep your schedule aligned to your priorities, and that humans shouldn't have to spend all day tinkering with their calendars in the 21st century.  Reclaim syncs with your calendar, lets you express your needs for things you want to get done, and takes action by blocking flexible, adaptive time on your schedule. Want to make sure you always have time to write your weekly status report or spend several hours a day coding? Done. Want to get a task done before it's due? Easy.  Additionally, Reclaim shows you stats on where your time goes each week as well as keeps your work and personal calendars in sync so that your colleagues don't overbook your personal commitments. Reclaim connects to Google Calendar, Slack, Google Tasks, and other productivity tools you use on a daily basis to ensure you're working in the places you work best.","Other, Software",7.0,Seed,2023-06-01,3825000.0,Seed,13325000.0,Private,,,,,,4,865,False
176,Vue Storefront,2020-11-20,https://www.vuestorefront.io,"San Francisco, California, United States","E-Commerce, E-Commerce Platforms, Retail, Retail Technology, Software",101-250,"6,778","Vue Storefront is the global market-leading frontend solution for faster, higher-quality and customer-focused online shopping experiences. The cloud-based, composable, and mobile-first technology connects e-commerce platforms with headless content management systems, payment systems, search providers and other third-party services.  A pioneering Frontend as a Service (FEaaS), Vue Storefront provides businesses with tools to create immersive and intuitive digital experiences for customers. This keeps shoppers longer on websites, boosts conversion rates, and increases revenues.","Commerce and Shopping, Hardware, Internet Services, Software",6.0,Early Stage Venture,2023-05-23,20000000.0,Series A,58901000.0,Private,,,0,7.0,,3,866,False
187,Aclid,2021-01-01,https://aclid.bio,"New York, New York, United States","Biopharma, Biotechnology, Life Science",1-10,"6,792","Aclid is a biotechnology security and compliance automation platform. Aclid is used by gene synthesis companies to verify customers, screen DNA and RNA orders for pathogenic and hazardous elements, and automate compliance inspections.","Biotechnology, Health Care, Science and Engineering",1.0,Seed,2023-10-12,3300000.0,Seed,3300000.0,Private,,,,,,3,867,False
192,Moxie,2022-06-01,https://www.joinmoxie.com,"New York, New York, United States","Health Care, Personal Health, Wellness",11-50,"6,797","Moxie empower individual entrepreneurs in launching, running, and growing their own, independent MedSpas. We help our clients thrive by providing the tools and expertise normally reserved only for the big chains. Moxie helps thousands of entrepreneurs across the country start and build their own businesses. A seed-stage startup with paying customers, the founders have previously built and exited two companies. The culture is grown-up, and we’re working remote-first.",Health Care,2.0,Early Stage Venture,2023-08-28,15700000.0,Series A,15700000.0,Private,,,,,,1,868,False
193,Spacelift,2019-01-01,https://spacelift.io/,"Redwood City, California, United States","Cloud Data Services, Information Technology, SaaS, Software",51-100,"6,800","Spacelift empowers collaborative infrastructure for modern software teams to manage any cloud, infrastructure, or service. Its platform uses terraform binary, an open-source project with an ecosystem and a multitude of existing providers and modules and in order to this solution offers features such as runtime configuration, version management, and state management that enable clients to perform their tasks and save a lot of time with a little development in their applications.","Information Technology, Internet Services, Software",3.0,Early Stage Venture,2021-10-13,15000000.0,Series B,22600000.0,Private,,,,,,5,869,False
200,Taiko Labs,2022-01-01,https://taiko.xyz,"Bay City, Michigan, United States","Blockchain, Ethereum, Service Industry",11-50,"6,817",Taiko Labs is a cryptocurrency firm that aims to scale the Ethereum blockchain.Taiko is builts a scaling solution for the Ethereum blockchain.,"Blockchain and Cryptocurrency, Other",3.0,Seed,2023-06-08,12000000.0,Seed,22000000.0,Private,,,,,,2,870,False
204,Orbital Therapeutics,2022-01-01,https://orbitaltx.com,"Cambridge, Massachusetts, United States","Alternative Medicine, Biotechnology, Life Science, Therapeutics",11-50,"6,823","Orbital Therapeutics aims to enhance global health by unleashing the full potential of RNA-based medicines to treat human disease in ways that were not previously possible. To produce an extended portfolio of medications, the company is developing an innovative platform at the confluence of RNA technology, delivery techniques, data analytics, and automation.","Biotechnology, Health Care, Science and Engineering",2.0,Early Stage Venture,2023-04-26,270000000.0,Series A,270000000.0,Private,,,,,,2,871,False
209,Skio,2021-01-01,https://skio.com,"New York, New York, United States","Advertising, E-Commerce, Finance, Internet",11-50,"6,832",,"Advertising, Commerce and Shopping, Financial Services, Internet Services, Sales and Marketing",2.0,Seed,2021-12-23,8200000.0,Seed,8350000.0,Private,,,,,,3,872,False
216,Vanilla,2019-01-01,https://www.justvanilla.com/,"Los Angeles, California, United States","Financial Services, Information Technology, Software",11-50,"6,845","Vanilla is an estate planning platform that allows advisors to unlock new value for clients and prospects alike, with no expertise required. The company was founded in 2019 and is based in Los Angeles, California, United States.","Financial Services, Information Technology, Software",3.0,Early Stage Venture,2022-04-28,30000000.0,Series B,46399977.0,Private,,,0,1.0,,5,873,False
218,Vareto,2020-01-01,http://www.vareto.com,"Mountain View, California, United States","Financial Services, FinTech, Information Services, Information Technology, SaaS, Software",51-100,"6,848","Vareto is the modern, next-gen FP&A platform for strategic finance and business teams to power company planning, reporting, and operational decision-making. Vareto is built for high-growth and enterprise teams, and is designed to be flexible, customizable, and scalable as business needs evolve.","Financial Services, Information Technology, Software",2.0,Early Stage Venture,2021-10-01,20000000.0,Series A,24200000.0,Private,,,,,,4,874,False
