,company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid
66997,Radwan Enterprises,2022-12-01,https://www.radwanenterprises.com,"Los Angeles, California, United States","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Customer Service, Information Technology, Project Management, Software, Technical Support",1335425.0,"Radwan Enterprises is a software company help businesses streamline their processes, improve productivity, and drive growth. The company leverages the latest technologies and industry best practices to deliver software solutions that are efficient, reliable, and scalable.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,1,2022,59552
67095,Fabius Labs,2019-01-01,https://www.fabiuslabs.com,"Dallas, Texas, United States","Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Software","Graphic Design, Information Technology, Machine Learning, Market Research",1331125.0,"Fabius Labs provides information technology services. They provide product strategy, strategic planning, market research, change management, data visualization creation, machine learning, data product creation, web apps, backend, technical audit, data science, and graphic design services.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,59635
67123,Spacemate,2020-01-01,https://www.spacemate.io/,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Computer Vision, Software",1330160.0,"Spacemate brings AI-powered automation into the design and operations of complex buildings, warehouses, hospitals, and transportation hubs to maximize operational efficiency, optimize space utilization, and boost the productivity and well-being of its inhabitants. Its technology combines 3d modeling with human behavior prediction and analytics to provide actionable insights that reduce operational costs and increase the efficacy of day-to-day operations. Spacemate is based in New York, USA.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,59656
67159,DataMarkin,2020-01-01,https://www.datamarkin.com/,"France, Idaho, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, Software",1328966.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,4,2020,59690
67178,AI Ethics Journal,2019-01-01,https://www.aiethicsjournal.org,"Los Angeles, California, United States","Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, Publishing",1328341.0,"AI Ethics Journal is an open-access bi-annual international journal publishing original peer-reviewed articles, letters, research, and perspectives on ethical and societal issues. It includes artificial intelligence, automation, autonomous machines, bioethics, cognitive science, computer science, data science, deep learning, design, education, emerging technologies, engineering, entertainment, and ethical implementation.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,5,2019,59708
67348,Change management,2020-01-01,https://www.chamacloud.com,"San Jose, California, United States","Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software","Artificial Intelligence (AI), Skill Assessment, Software",1400018.0,,51-100,0.0,,,0.0,,0.0,,51-100,Private,,,,,,6,4,2020,59856
67354,The Bulls Run Group,2020-01-01,https://www.bulls.run,"Bethesda, Maryland, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Cyber Security, Information Technology",1399804.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,0.0,2.0,,6,4,2020,59862
67493,The AI Robotics Ethics Society,2019-01-01,https://www.theaires.org,"Los Angeles, California, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Robotics",1393838.0,"The AI Robotics Ethics Society focuses on educating tomorrow's AI leaders in ethical AI principles. As technology advances at an exponential rate, we must begin to consider how AI will interact with and impact society in various aspects of daily life, with a focus on ethical implications and their implementation within AI systems.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,5,2019,59980
67536,botsensei,2018-05-01,https://thebotsensei.com,"Chicago, Illinois, United States","Artificial Intelligence (AI), Data and Analytics, Education, Hardware, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), Autonomous Vehicles, EdTech, Education, Machine Learning, Robotics",1392082.0,"The future of robotics and artificial intelligence is upon us. We've all seen movies like Artificial Intelligence, iRobot, BladeRunner, Big Hero 6, and the iconic Wall-E and a future impacted by these emerging technologies but now it's happening in real life, and it's coming faster than before. Are you ready for it? We’re here to help you learn the basics of artificial intelligence, robotics, and self-driving (autonomous) technologies. The rapid growth of these markets has led to a growing demand of these skills, but a lack of talent. We want to help you bridge the gap. Start now with Zoom, a kit that teaches you how to build your own self-driving RC car and walks you through the basics of AI and robotics. As you get more skilled our mission is to help guide your curiosity with kits of increasing difficulty so you’ll go from building a self-driving RC car to programming the AI in a fully equipped autonomous vehicle, like a Tesla :D",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2018,60017
67748,Return Health,2020-01-01,https://return.health/,"Hialeah, Florida, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Software","Health Care, Machine Learning, Medical, Wellness",1383545.0,"Return Health explores dementia care with psychedelic enhanced therapeutics and machine learning. It was founded in 2020 and is based in Hialeah, Florida. Their mission is to explore ways to reduce the symptoms of dementia and work towards creating a cure.",1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,4,2020,60201
67781,Street Sense,2021-06-01,https://streetsenseai.com,"Miami, Florida, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), Transportation",1381956.0,"Street Sense is a data company, focused on providing real-time, urban mobility data to a wide range of customers and applications. Through AI cameras, we provide cities, drivers, and enterprise customers with the data they need to increase revenues, reduce parking times, and optimize mobility.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,2,2021,60228
67813,Discovery Genomics,2019-01-01,https://discoverygenomics.com,"Irvine, California, United States","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Science and Engineering, Software","Analytics, Biotechnology, Machine Learning",1380334.0,"Discovery Genomics improves patient care and advances research with insights from genetic analysis, big data, and deep learning.If you want would contact them please contact them via phone call or email.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,60259
67878,Entraded,2020-07-01,https://www.entraded.com,"Middletown, Delaware, United States","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Lending and Investments, Payments, Science and Engineering, Software","Artificial Intelligence (AI), Cryptocurrency, Financial Services, FinTech, Trading Platform",1377625.0,"Entraded is an algorithm-driven social trading platform that makes it very easy for cryptocurrency investors to automate their trading strategies without writing code.  With the Entraded-Algobase, crypto investors and traders alike can invest in the top-performing algos created by the world's top traders and quants while also socializing with their best and favorite algo traders. With the Entraded Build, master traders and quants can build a profitable trading strategies with a drag-and-drop strategy builder and by using our AI-driven optimization engine can make sure their strategies are sustained for long-term profitability.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2020,60315
67909,VIABI,2019-01-01,https://viabi.ai,"Mountain View, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Software",1376934.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,60342
67935,abelling,2020-02-01,https://abelling.com,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning",1375324.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,60365
67985,ConnectDome,2021-01-30,https://connectdome.com,"Remote, Oregon, United States","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Internet Services, Other, Real Estate, Science and Engineering, Software","Artificial Intelligence (AI), Internet, Project Management, Real Estate, Social Network, Software",1373218.0,"ConnectDome helps you find developers to work with and tailored projects to work on. It makes it easier for developers to network, build, and ship their ideas.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2021,60405
67998,Bright-Inks,2019-01-01,https://www.bright-inks.com,"Diamond Bar, California, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Internet of Things, Machine Learning, Software, Virtual Reality",1372702.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,60416
68047,Ghost Squawk,2020-01-01,https://www.ghostsquawk.com/,"Tampa, Florida, United States","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Education, Financial Services, Lending and Investments, Other, Payments, Science and Engineering, Software","Artificial Intelligence (AI), B2C, Cryptocurrency, EdTech, Finance, FinTech, Machine Learning, Software, Trading Platform",1370526.0,Ghost Squawk is a fintech company that develops AI technology to help investors market better decisions in the markets. We do this by creating AI tools and providing online programs to help investors be profitable.,11-50,0.0,,,0.0,,0.0,2.0,11-50,Private,,,,,,6,4,2020,60461
68064,Multicloud4U,2019-01-01,http://www.multicloud4u.com,"Herndon, Virginia, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Cloud Data Services, Software",1370225.0,,11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,5,2019,60475
68277,Financli,2020-10-31,https://financli.com/,"Claymont, Delaware, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software","Artificial Intelligence (AI), FinTech, SaaS",1439432.0,"Financli was created by a team of certified professionals with years of financial planning and analysis experience. Financli is a one-stop solution that helps you cater to all your financial, budgeting, and forecasting workflows - enabling users to make decisions backed by carefully analyzed data. With its easy-to-use interface and powerful features, Financli is the perfect solution for anyone who wants to make their financial planning and analysis faster, efficient, and hassle-free.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2020,60656
68346,Marketing4.us,2020-01-01,http://www.marketing4us.com,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Internet Services, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Digital Marketing, Marketing, SEO",1436784.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,60717
68402,Ikonos Analytics,2020-08-01,https://ikonosanalytics.com,"Columbus, Ohio, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Software",1433671.0,"Ikonos Analytics helps firms in evolving their analytics teams, solutions, and methods into unified, scalable, and impact daily operations. The company creates an education technology platform to assist AI experts in effectively scaling their knowledge within their organization.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2020,60771
68412,Focus Ten Consulting,2019-01-01,https://www.focustenconsulting.com,"Chicago, Illinois, United States","Artificial Intelligence (AI), Data and Analytics, Professional Services, Software","Business Development, Consulting, Predictive Analytics",1433313.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,60778
68476,Optistics,2020-01-01,https://www.optistics.com,"Chicago, Illinois, United States","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), E-Commerce Platforms, Machine Learning, Predictive Analytics, Retail Technology",1430507.0,"Optistics is a predictions-as-a-service (PaaS) solution that infuses artificial intelligence and machine learning to predict when shipments will be delayed. These predictions help customer service teams stay ahead of any potential package delays. Doing so provides the business with decreased support requests, increases profit margins,  and improved customer retention.",1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,4,2020,60835
68488,Digital Asset Analytica,2021-01-01,https://www.digitalassetanalytica.com,"San Jose, California, United States","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Education, Financial Services, Payments, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Cryptocurrency, E-Learning, Finance, Financial Services, FinTech, Fraud Detection",1430121.0,"Digital Asset due diligence for investors and financial professionals for investment, risk management and fraud detection.",1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,3,2021,60846
68498,EDI.ai,2020-01-01,https://www.edi.ai/,"Ann Arbor, Michigan, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software","Apps, Artificial Intelligence (AI), Cloud Data Services, Software",1429764.0,,51-100,0.0,,,0.0,,0.0,,51-100,Private,,,,,,6,4,2020,60855
68499,AMTIL,2019-10-02,https://amtil.co,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Education, Hardware, Science and Engineering, Software","Aerospace, E-Learning, Education, Machine Learning, Software, Virtual Reality",1429756.0,"The first all inclusive Interactive Learning Platform for aviation maintenance students, instructor and professionals. Leveraging 3D modeling, AI and virtual reality technologies, the platform aims to increase learning, cut operational costs and decrease overall training times.",11-50,0.0,,,0.0,,0.0,3.0,11-50,Private,,,,,,6,4,2019,60856
68531,PCortex,2021-01-01,https://pcortex.ai,"Boston, Massachusetts, United States","Artificial Intelligence (AI), Clothing and Apparel, Data and Analytics, Sales and Marketing, Science and Engineering, Software","Apparel, Artificial Intelligence (AI), Sales, Software",1428260.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2021,60886
68541,Qinta,2021-01-27,http://www.qinta.io,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Software","Financial Services, FinTech, Machine Learning, Software",1427917.0,"Our vision is to empower people often challenged by out of reach, costly and complex financial products. We are Cambridge-educated mathematicians, Phds, finance professionals and coders. And we got together to develop the self-driving wallet for the global citizen. We unlock financial benefits needed for our time to help people recover from the financial setbacks caused by the pandemic.  We leverage the latest in blockchain technology and machine learning to help people reach their financial goals and design the life that they want despite the new economic environment we are in.",1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,3,2021,60894
68548,Architechtura,2020-01-01,https://www.architechtura.com,"Miami, Florida, United States","Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Social Media Marketing, Web Development",1427627.0,"Architechtura company provides blockchain development and marketing services. They offer website development, community building, workflow automation, branding, social media marketing, artificial intelligence marketing, and content creation services.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,60900
68557,LogSmarter,2019-01-01,https://www.logsmarter.net/,"Durham, North Carolina, United States","Artificial Intelligence (AI), Data and Analytics, Food and Beverage, Health Care, Software","Health Care, Machine Learning, Nutrition, Software",1427172.0,LogSmarter is a nutrition tracking program that employs machine learning to assist users in achieving their fitness objectives.   The patented machine learning algorithm will then develop a goal calorie intake that is tailored to the individual requirements.,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,60909
68566,Helios IIoT,2020-01-01,https://gohelios.us/,"Glen Arm, Maryland, United States","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Manufacturing, Science and Engineering, Software","Artificial Intelligence (AI), Industrial Automation, Industrial Manufacturing, Machine Learning, Packaging Services",1427043.0,"Helios is a corrugated AI and Machine Learning Internet of Things (IIoT) Platform that monitors, learns, and predicts important metrics driving the productivity, safety, and efficiency tailored specifically to the converting industry.   The OEM-agnostic platform is engineered to provide manufacturers access to robust, actionable insights into the performance of their machines, including:  effectively visualize asset utilization, optimize maintenance intervals, and over time predict failures, automate part orders, and more.",51-100,0.0,,,0.0,,0.0,,51-100,Private,,,,,,6,4,2020,60918
68620,Saanketh Sound Analytics,2021-04-01,http://www.saanketh.com,"Lewes, Delaware, United States","Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Business Intelligence, Information Services, Information Technology, Machine Learning, Product Research",1425066.0,"Saanketh goes beyond the lifeless words to get to the real depth of all conversations, we capture its true life energy. Saanketh brings a sound clarity to all complex human interactions which may be engrossed in emotions, analogies, hyperbole, paraphrasing, and other personal innuendos. These complexities cause a major challenge for a productive workplace of any profession. Saanketh with its propreitary NLP technology cuts through the clutter and identifies, organizes and suggests actionable resolutions for problems.",1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,2,2021,60964
68625,YaiGlobal,2019-09-05,https://yaiglobal.com,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology",1424719.0,Account-based Marketing,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2019,60967
68632,SecureCHEK AI,2021-01-01,https://securechek.ai,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Machine Learning, Software",1424266.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,1.0,0.0,,6,3,2021,60973
68644,Predict Point,2019-01-01,http://predictpoint.com,"Seattle, Washington, United States","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Internet Services, Software","E-Commerce, Internet, Machine Learning, SaaS, Software",1423916.0,"PredictPoint Inc., is a young Seattle based Internet start-up focused on helping e-commerce companies realize greater profitability through intelligent merchandising applications. Founded in January 1999, PredictPoint provides e-commerce marketing and merchandising managers with next generation tools to help them analyze and maximize their e-commerce initiatives. PredictPoint is currently developing its flagship product and is seeking talented and motivated individuals to help take e-commerce to the next frontier.",1-10,1.0,Seed,2000-03-08,1000000.0,Seed,1000000.0,,1-10,Private,,,,,,0,5,2019,60984
68654,OKAYGE,2018-08-18,https://okayge.com,"West Allis, Wisconsin, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Internet, Internet of Things, Machine Learning",1423495.0,"OKAYGE Inc. is a technology company rethinking the future of everything. We specialize in artificial intelligence, machine learning, big data, software, online marketing, and Internet-related services. Our first product, Dityer is launching soon. Learn more at dityer.com OKAYGE is currently rasing seed funding, if you would like to participate in the round, please email Ntabala@okayge.com",1-10,1.0,Seed,2019-05-05,0.0,Pre-Seed,0.0,1.0,1-10,Private,,,,,,2,5,2018,60993
68707,Snowfork,2020-01-01,https://www.snowfork.com,"San Francisco, California, United States","Administrative Services, Apps, Artificial Intelligence (AI), Data and Analytics, Mobile, Software","Machine Learning, Mobile Apps, Staffing Agency, Web Development",1420480.0,"Snowfork provides Mobile Apps, Web Technologies, Enterprise Cloud, Security Auditing and Testing, OS and Virtualization, Machine Learning, Blockchain and Cryptocurrency, Game Design, Virtual and Augmented Reality, Open Hardware and Microcontrollers.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,61036
68804,Aiken,2019-05-31,https://www.aikentech.net,"Bakersfield, California, United States","Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Information Technology, Media and Entertainment, Music and Audio, Other, Science and Engineering, Software","Artificial Intelligence (AI), Audio, Consumer, Consumer Electronics, Consumer Software, Electronics, Hardware, Information Technology",1416417.0,"Aiken Technology is a technology company that is developing and improving its technology and implementing it in its electronic products. The company was born in 2021 when a voice recognition project with artificial intelligence was started. As a result, there was a need for a new product on the market with these characteristics and so began the development of the eve system of artificial intelligence and also the development of Feel Buds, Aiken's first earphone. The name ""Aiken"" is a tribute to the American physicist and computing pioneer Howard Hathaway Aiken, who was the original conceptual designer behind the IBM Harvard Mark I computer. We currently have our headquarters in the United States, where we have our main target audience, and in China, where we have our partner factory.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,4,2019,61119
68951,PG Financial,2022-01-01,https://pgfin.net,"Valparaiso, Indiana, United States","Artificial Intelligence (AI), Data and Analytics, Design, Financial Services, Software","Financial Services, FinTech, Machine Learning, Market Research",1411197.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,2,2022,61252
68957,BrainWavesAI,2021-01-01,https://www.brainwavesai.com/,"Nashville, Tennessee, United States","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Neuroscience",1411056.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2021,61258
69045,CROSSLINKER,2019-01-01,http://www.crosslinker.us,"Sunnyvale, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Software",1407343.0,Artificial Intelligence Assisted Secured Data Delivery,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,61339
69091,Codabl,2020-01-17,https://codabl.com,"Los Angeles, California, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Software","FinTech, Machine Learning",1405739.0,"Codabl, helps financial services company build data pipelines centered around anomaly detection, natural language processing, and computer vision. Codabl work closely with data science teams to train machine learning models.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,61379
69138,Greater Innovations and Solutions,2019-01-01,https://giands.com,"Four Oaks, North Carolina, United States","Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Internet of Things, Machine Learning",1482398.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,61420
69274,BELE Realty,2020-01-01,https://belerealty.com,"Detroit, Michigan, United States","Artificial Intelligence (AI), Data and Analytics, Education, Real Estate, Science and Engineering, Software","Artificial Intelligence (AI), Real Estate, Training",1476256.0,"BELE Realty Inc is a real estate agency that focuses on hiring and training new agents. The company utilizes artificial intelligence to streamline the process of real estate transactions, making it more efficient and cost-effective. It offers a professional agent commission model, which provides a unique opportunity for individuals looking to start or transform their career in real estate. The company also offers remote real estate agent positions, providing flexibility and convenience for its employees.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,61537
69279,85 And Company,2020-10-02,http://www.85andcompany.com,"Denver, Colorado, United States","Administrative Services, Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Professional Services, Real Estate, Science and Engineering, Software","Artificial Intelligence (AI), Bioinformatics, Biopharma, Chemical Engineering, Construction, Mechanical Engineering, Recruiting, Staffing Agency",1476064.0,"We're a unique staffing firm with a range of services in all industries. Our company provides classic headhunting services with modern, proprietary techniques, reaching out to candidates who are plug-and-play for the right position. We also provide consulting services for in-house Human Resources and Recruiting Teams, training them with new techniques and methods for finding candidates specifically for their company. Lastly, we provide free consultations to business owners and executives who are looking for advice or direction from experts at team building and knowing the pulse of the current candidate pool. Areas we have actively been involved in recruiting: Artificial Intelligence / Machine Learning hardware and software services and applications; Robotics engineering; Financial technology (Fintech); Industrial Automation Manufacturing; Industrial and Commercial construction; Biopharmaceutical and biomedical manufacturing and R&D services; Analytical Chemistry Labs; Large-scale manufacturing; Cloud services; and the cannabis industry.",51-100,0.0,,,0.0,,0.0,,51-100,Private,,,,,,6,3,2020,61541
69288,IINEN,2020-08-01,https://iinen.com,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Science and Engineering, Software","Business Intelligence, Data Visualization, Intelligent Systems",1475671.0,"IINEN is a business intelligence consulting firm that helps companies of all sizes make better decisions with data. IINEN provides a wide range of services, including data management, data analysis, and data visualization.  IINEN was founded by a team of experienced data professionals who saw the need for a company that could help businesses make sense of their data. The company has since grown to become a leading provider of data intelligence services, with a client base that includes businesses of all sizes from a variety of industries. IINEN's services are designed to help businesses improve their decision-making by providing them with insights into their data. The company's consultants work with businesses to understand their data needs, develop data management and analysis solutions, and implement those solutions. IINEN also provides training to help businesses get the most out of their data.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2020,61549
69302,Motoring,2020-01-01,https://www.trymotoring.com,"Indianapolis, Indiana, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software","Artificial Intelligence (AI), Insurance, Test and Measurement",1475096.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,61563
69360,ThinkBase,2021-09-23,https://thinkbase.ai,"Sheridan, Wyoming, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Software",1472572.0,"Moving beyond Robotic Processes Automation, companies want systems that can reason to replace and augment human decision-making. But they don't want to trust Black Box systems like those built on deep learning. They want systems that are transparent, can explain themselves, and whose workings and processes can be audited. This is the age of Knowledge graphs Like all new technology they have roots deep in the past: our founder, Dr Andy, worked on his first Knowledge graph in 1998. But new developments in Graph Databases and cloud computing have made Knowledge Graphs a practical reality. We've decided that ThinkBase is our future, so we've made all the different elements of the DARL ecosystem available in a single Knowledge Graph model. With ThinkBase you can: Integrate your organization's specialized knowledge of the structures and relationships that make up your business. Weaponize that by building in Fuzzy expert system rules to make it an active reasoning engine Use common sense reasoning to make inferences and perform sanity checks. Communicate with your reasoning engine using a fully configurable ChatBot front end.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,2,2021,61612
69369,ProductMarketFit.AI,2018-04-11,https://productmarketfit.ai,"Seattle, Washington, United States","Artificial Intelligence (AI), Data and Analytics, Design, Other, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Product Design, Product Management, Product Research, Software",1472188.0,"Every new feature and UX change poses a risk. Can't ask everyone if they like it every time though. Satisfaction, revenue, and retention are slow feedback. Get realtime feedback, project impact on fit, and put all of your data to use with PMFIT's AI",1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,5,2018,61621
69384,Grassly,2021-02-06,https://grassly.io,"Savannah, Georgia, United States","Agriculture and Farming, Apps, Artificial Intelligence (AI), Data and Analytics, Real Estate, Software, Sustainability","Agriculture, AgTech, Apps, Big Data, CleanTech, GreenTech, Landscaping, Machine Learning, Real Estate, Software",1471553.0,"Service optimization, Exterior Property Maintenance, Technology, carbon-reduction, greentech agtech, property health, property data, residential big data, machine learning, commission fee per service, data resale, marketing data",1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,3,2021,61636
69416,Nueevo,2018-08-30,http://www.nueevo.com,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Navigation and Mapping, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Big Data, Computer Vision, Information Technology, Machine Learning, Mapping Services, Software, Transportation",1470426.0,"Nueevo Technologies, Inc. is a venture-backed company focused on extending the perception range and increasing the safety of autonomous vehicles using advanced artificial intelligence-powered vision systems.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,0.0,1.0,,6,5,2018,61658
69426,Amāre,2021-01-01,https://www.findamare.com/,"New York, New York, United States","Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Dating, Information Technology, Internet",1470085.0,"Amre matches people using artificial intelligence and traditional astrology. Founded in 2021 and is based in New York, NY.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2021,61666
