,company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped
8368,Archive,2021-01-01,https://www.archiveresale.com,"San Francisco, California, United States","Clothing and Apparel, Commerce and Shopping, Design","E-Commerce, Fashion, Marketplace",59928.0,"Archive is a technology company that builds customized resale programs for brands to take ownership of their secondhand markets. We work with brands such as The North Face, Oscar de la Renta, and Marimekko to create bespoke, authentic resale experiences that keep clothing in wear longer, while simultaneously bringing in a new revenue stream, building customer loyalty, and driving new customer acquisition. Our world-class technology and design teams offer infinite flexibility to build a unique experience tailored to each brand, and our logistics expertise enables a variety of resale models including peer-to-peer, take-back, returns, and brand-owned inventory.",11-50,3.0,Early Stage Venture,2022-12-06,15000000.0,Series A,24335000.0,2.0,11-50,Private,,,,,,0,3,2021,8138,True
2046,PAXAFE,2018-10-25,https://www.paxafe.com/,"Indianapolis, Indiana, United States","Administrative Services, Transportation","Logistics, Packaging Services, Shipping, Supply Chain Management",23532.0,"PAXAFE develops an AI-enabled, device-agnostic risk-management platform. It enables intelligent, dynamic shipping and cargo insurance by providing a supply chain of custody through its IoT shipping solutions. The platform reduces product loss, improves operational efficiency, and optimizes decision-making for cold chain shippers and carriers.",11-50,6.0,,2024-02-23,6050000.0,Venture - Series Unknown,12215000.0,2.0,11-50,Private,,,0.0,0.0,,1,5,2018,2007,True
3811,Sort,2022-01-01,https://sort.xyz/,"San Francisco, California, United States","Blockchain and Cryptocurrency, Data and Analytics, Internet Services, Software","Analytics, Application Performance Management, Database, Web3",32836.0,"Sort is an application programming interface for cryptocurrency. Sort offers a tutorial for setting up a hosted development environment, creating a contract, deploying the contract and sample transactions, and showing results on a webpage.",101-250,2.0,Seed,2023-05-22,3500000.0,Seed,3500000.0,,101-250,Private,,,,,,0,2,2022,3738,True
5548,MyPurse,2020-05-11,https://www.soothe.cc,"Austin, Texas, United States","Financial Services, Payments","Finance, Financial Services, FinTech, Payments",42462.0,"MyPurse is a decentralized platform, designed in Austin, Texas, that delivers a safe and fast method of payment to its users online by integrating the use of blockchain technology. The team consists of developers with more than 10 years of experience with diverse programming languages such as C++, Java, Python and others. MyPurse has been created not only to stand out from any competition currently available by offering solutions within the parameters needed for daily operations such as:-User interface-Responsive design-Online and offline shops- The availability of MySQL databases-Fast processing in deployment environmentsIt all started when I was a 12, then it continued after I realized all other banking applications offer. I felt there had to be an easier way. So at 16 I left my first course at school and became fascinated by the tech world full time.",101-250,4.0,Late Stage Venture,2023-05-05,12000000.0,Series C,36500000.0,2.0,101-250,Private,,,,,,0,3,2020,5431,True
5736,FirstMate,2022-01-01,https://www.usefirstmate.xyz ,"Brooklyn, New York, United States",Software,"Developer Platform, Developer Tools, Software",43614.0,,1-10,1.0,Seed,2023-08-28,3750000.0,Seed,3750000.0,,1-10,Private,,,,,,0,2,2022,5612,True
6502,Neuronix AI Labs,2020-01-01,https://www.neuronix.ai,"Sunnyvale, California, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Cloud Computing, Computer Vision, Information Technology, Machine Learning",48270.0,"Neuronix AI Labs offers a solution that focuses on lowering computer vision AI cost and power consumption. The company's solutions aim to reduce costs and save power for all devices. Neuronix AI Labs was founded by Yaron Raz and Asher Hazanchuk and is based in Sunnyvale, California.",1-10,2.0,Seed,2021-06-07,146290.0,Pre-Seed,1646291.0,3.0,1-10,Private,,,,,,0,4,2020,6348,True
5757,Beam Dynamics,2021-01-01,https://www.beamdynamics.io/,"Winston Salem, North Carolina, United States","Media and Entertainment, Software, Video","Broadcasting, Film Production, Media and Entertainment, SaaS, Software",43739.0,"Imagine: a teleprompter stops working midway through a live program. A lighting grid suddenly turns off during taping, and a pair of premium cinema cameras stop functioning on a film set. In 90% of cases, interruptions on set can be traced back to high-end production equipment failure. And downtime in our industry costs money – adding up fast to break budgets and even end careers. While common business systems like ERP (Enterprise Resource Planning) or CRM (Customer Relationship Management) have digitalized wide parts of businesses and AI has taken center stage in the media supply chain, the management of production technology assets is still quite analog and fragmented, requiring manual data entry and monitoring from the workforce. Beam Dynamics is helping film & broadcast productions manage, maintain, and grow their critical technology infrastructure. The Beam enterprise asset management platform provides engineers access to all critical security patches, firmware updates, documentation, and contact information from over 5,000 vendors and close to a million products in a single user interface. Simply by uploading an inventory list with the model # and manufacturer, engineers get access to a rich set of critical data to keep productions on-air, on time, and on-budget.",11-50,3.0,Seed,2022-06-10,1200000.0,Angel,1880000.0,3.0,11-50,Private,,,,,,0,3,2021,5633,True
3062,Therify,2020-01-01,https://therify.co,"Brooklyn, New York, United States","Administrative Services, Health Care","Employee Benefits, Health Care, Mental Health, Wellness",28735.0,"Therify provides inclusive mental health benefits for companies. Through Therify's web platform, employees can access culturally responsive therapists, live community sessions, and self-guided content to support their emotional well-being.",1-10,4.0,Seed,2023-08-30,2010000.0,Seed,3435000.0,2.0,1-10,Private,,,,,,0,4,2020,3007,True
829,Trilon Group,2021-01-01,https://www.trilongroup.com/,"Denver, Colorado, United States","Professional Services, Science and Engineering","Civil Engineering, Consulting",17078.0,"Trilon Group offers career paths, spanning technical, project management, business management, business development, and operations.",1001-5000,1.0,Private Equity,2022-02-01,200000000.0,Private Equity,200000000.0,,1001-5000,Private,,,,,,0,3,2021,812,True
242,Monument,2023-01-01,https://monument.io/,"Dallas, Texas, United States","Other, Real Estate, Software","B2B, SaaS, Self-Storage, Software",14105.0,Monument is a software platform for the self-storage industry that manages large portfolios of facilities. The company's cloud-based platform allows users to manage facilities and customers remotely.,1-10,1.0,Seed,2023-05-01,12000000.0,Seed,12000000.0,2.0,1-10,Private,,,,,,0,1,2023,239,True
5584,Courted,2021-01-01,https://www.courted.io/,"New York, New York, United States",Real Estate,Real Estate,42655.0,"Courted is a professional network for residential real estate helping agents connect with one another to grow their business through data-driven marketing and referral generation. With Courted, agents can stay informed about data and trends, find mentorship, power cross-market referrals, and connect with other agents in an automated way.",1-10,1.0,Seed,2022-05-03,6000000.0,Seed,6000000.0,1.0,1-10,Private,,,,,,0,3,2021,5467,True
4665,eddii,2019-01-01,https://www.eddiihealth.com/,"New York, New York, United States","Health Care, Software","Health Care, Virtual Assistant",37581.0,"Hey there! I'm eddii, your personal health buddy designed to make managing your diabetes a whole lot more fun and engaging. I'm here to motivate and support you on your journey towards better health!",1-10,3.0,Seed,2023-08-01,0.0,Seed,3500000.0,2.0,1-10,Private,,,2.0,0.0,,1,5,2019,4573,True
1559,AndHealth,2021-06-01,https://andhealth.com/,"Columbus, Ohio, United States",Health Care,"Health Care, Medical",20821.0,"AndHealth helps people reverse chronic diseases. The company operates a virtual center of excellence for migraine and is soon launching others for autoimmune conditions, including rheumatoid arthritis, psoriasis, ulcerative colitis, and Crohn’s disease. AndHealth works with employers, health plans, public entities, and individuals.",1-10,1.0,Seed,2022-02-10,57000000.0,Seed,57000000.0,,1-10,Private,,,0.0,2.0,,0,2,2021,1529,True
11337,OXYGEN Healthcare,2020-01-01,https://www.oxygen.healthcare,"Miami, Florida, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Electronic Health Record (EHR), Health Care, Information Technology, Machine Learning, Medical, Software, Virtual Assistant, Web Apps",81092.0,"OXYGEN Healthcare - one-stop shop platform for healthcare providers combining: Artificial Intelligence  Intelligent automation & Robotic Process Automation Real-time patient monitoring Digital healthcare technologies that provide a unique hybrid virtual-first healthcare experience.  Oxygen Healthcare gives for caregivers the tools to incorporate real world data to deliver individualized care to their patients in a modern platform with direct integrations for labs, diagnostic tests, Remote Patient Monitoring (RPM) and Internet of Medical Things (IoMT) devices, e-prescriptions, supplements, and billing.  OXYGEN Healthcare is aggregating and merging all forms of individualized patient and medical data (EMR, EHR, PHR), resulting in a more holistic and longitudinal understanding of each patient’s health and needs. This, in turn, is leading us to better health outcomes, more precise clinical research for drug development, and a better underwriting of risk for value-based care. It's a multi-platform - patient portal (mobile & web) and provider web application. Applications are integrated to create automated workflows and customized experiences. OXYGEN Healthcare system is enrolled in the largest interoperability networks, APIs are based on the newest, most trusted standard for healthcare IT systems (FHIR and HL7). ISO 27001 certified and HIPAA compliant.",11-50,1.0,,2020-08-27,3000000.0,Venture - Series Unknown,3000000.0,2.0,11-50,Private,,,,,,1,4,2020,10950,True
9140,Eumentis Therapeutics,2019-01-01,https://eumentistx.com/,"Boston, Massachusetts, United States","Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Medical",65290.0,Eumentis is a biopharmaceutical company developing treatments for neuropsychiatric conditions. Its product candidate EM-221 is an oral PDE10A inhibitor designed to modulate the dopamine D2 pathway specifically in the striatum.,11-50,4.0,Early Stage Venture,2023-02-08,3000000.0,Grant,8900000.0,1.0,11-50,Private,,,,,,0,5,2019,8879,True
11395,Planckton Data,2022-01-01,https://www.plancktondata.com/,"Houston, Texas, United States","Energy, Information Technology, Natural Resources","Information Technology, Mineral, Oil and Gas",81525.0,"Planckton Data manages the entire carbon data lifecycle to help make better decisions in the company's journey to net zero. They guide companies to make better decisions as they work towards net zero by using measured, interoperable data. Their offerings are designed for asset-heavy industries with a focus on the oil and gas, chemical and refining, mining, and resources industries.",1-10,1.0,,2023-03-27,1510000.0,Venture - Series Unknown,1510000.0,2.0,1-10,Private,,,,,,1,2,2022,11006,True
15185,Caremiles,2021-06-01,https://www.caremiles.app,"San Francisco, California, United States","Apps, Mobile, Software, Sustainability","Mobile Apps, Sustainability",111288.0,"Caremiles Inc was born in California, in mid 2021 with a mission to offer technology and common sense to help people make better eco-friendly choices, supported by education and financial incentives. Stay tuned as we build our platform and grow our community of people just like you. We are eager to get your feedback and suggestions in the meantime. After all, we’re all in this together.",1-10,1.0,Seed,2022-01-01,295000.0,Pre-Seed,295000.0,2.0,1-10,Private,,,,,,0,2,2021,14545,True
12165,AiGIA Health,2020-11-10,https://aigia.health,"Middletown, Delaware, United States","Blockchain and Cryptocurrency, Health Care, Internet Services","Electronic Health Record (EHR), Health Care, Web3",87297.0,"Individuals can aggregate & share, continuously monitor and anonymously trade their health data on a Web3 marketplace.",11-50,4.0,Seed,2022-09-23,20000.0,Grant,580000.0,1.0,11-50,Private,,,0.0,1.0,,0,3,2020,11737,True
3746,CodeGPT,2023-03-26,https://codegpt.co/,"Miami, Florida, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, SaaS",32455.0,"With over 1 million expected global downloads this year, CodeGPT's reach has grown solely through word-of-mouth. We offer an AI pair programming solution that enhances coding abilities using coding chat assistant, context management, AI agent creation and GitHub repo synchronization; and our plug & play API allows for the creation of custom solutions, effortlessly handling all the complexities of fine-tuning LLMs. At the heart of our vision is a dream to revolutionize technology creation using the potential of AI. Our focus is on creating an all-in-one AI solution for software development,. Our mission is to empower developers to be more productive.",11-50,2.0,Seed,2023-09-12,120000.0,Pre-Seed,1245000.0,3.0,11-50,Private,,,0.0,0.0,,0,0,2023,3676,True
40,swivl.ai,2018-07-01,https://www.tryswivl.com,"Denver, Colorado, United States","Artificial Intelligence (AI), Data and Analytics, Real Estate, Science and Engineering, Software","Artificial Intelligence (AI), SaaS, Self-Storage, Software",13159.0,"Even the best Self Storage operators often miss nearly 49% of all incoming communication that can turn into a sale, while wasting time on answering repetitive questions, instead of focusing on revenue generating activities. Introducing the Only AI Assistant in Self Storage. With an industry leading Natural Language Processing model, swivl can answer hundreds of questions regarding different self storage topics. swivl augments operating teams to understand what works and automatically tune property-level decisions every day to attract ready-to-lease customers. Operators leverage swivl's Proptech automation to power things like digital assistants, online self-service automation, website inventory recommendations, call center routing, and omnichannel experiences.  swivl’s AI Assistant averages an 80% automation rate, with more than 50,000 assisted reservations across 2,500 Self Storage locations.",1-10,5.0,Seed,2020-07-13,0.0,Seed,1300000.0,3.0,1-10,Private,,,,,,1,5,2018,39,True
10271,HomeWare,2023-01-01,https://homeware.net/,"Nashville, Tennessee, United States","Consumer Electronics, Hardware, Internet Services, Real Estate","Electronics, Home Improvement, Home Services, Internet of Things",73063.0,"HomeWare develops IoT-based home software that simplifies life by automating everyday tasks. It features a simple interface with a single view to control devices from a single application and helps users to get a quick, complete room-by-room view of the home and control all the lights and status of all devices with a single click.",11-50,2.0,Seed,2023-05-08,160000.0,Seed,360000.0,,11-50,Private,,,,,,0,1,2023,9951,True
13165,Inspired Capital Partners,2019-01-01,http://www.inspiredcapital.com,"New York, New York, United States","Financial Services, Lending and Investments","Financial Services, Venture Capital",94867.0,"Inspired Capital Partners is an early-stage technology venture fund focused on supporting the next wave of exceptional entrepreneurs. Founded in 2019, Inspired Capital is backed by founders with transformative ideas, brilliant teams, and relentless determination.",11-50,0.0,,,0.0,,0.0,4.0,11-50,Private,,,,,,6,5,2019,12678,True
8540,Metlo,2021-06-01,https://metlo.com,"San Francisco, California, United States","Apps, Software","Software, Web Apps",60980.0,"Metlo helps companies inventory, protect, and secure all their APIs.",1-10,1.0,Seed,2021-08-31,125000.0,Pre-Seed,125000.0,2.0,1-10,Private,,,,,,0,2,2021,8304,True
7903,Honeypot Software,2023-01-02,https://honeypotsoftware.com,"San Francisco, California, United States","Sales and Marketing, Software","Marketing Automation, SaaS, Software",57072.0,"Honeypot is a cutting-edge marketing technology company that specializes in utilizing artificial intelligence and machine learning to optimize and enhance digital marketing strategies. Our proprietary algorithms and data analytics provide actionable insights that drive conversions and increase ROI for our clients. With a focus on data-driven decision making, Honeypot delivers data-driven solutions that empower our clients to stay ahead of the competition. Our platform integrates seamlessly with existing marketing infrastructure, providing a seamless user experience. Whether you're a startup or a well-established brand, Honeypot's data-driven marketing solutions will help you achieve your business goals.",1-10,1.0,Early Stage Venture,2023-01-19,10000000.0,Series A,10000000.0,1.0,1-10,Private,,,0.0,1.0,,0,1,2023,7694,True
3007,Yardline,2020-01-01,https://yardline.com,"New York, New York, United States","Commerce and Shopping, Financial Services","E-Commerce, Financial Services, FinTech, Marketplace",28402.0,"Yardline enables e-commerce sellers and businesses to thrive in the marketplace economy. Using proprietary technologies, data science-backed tools and industry-leading expertise, Yardline helps sellers improve operations, increase profitability and promote business growth on platforms like Amazon, eBay, Etsy, and Shopify, while empowering marketplaces and other online platforms through its turnkey, embedded Capital-as-a-Service solution. Yardline Capital, a direct provider of growth capital under Yardline, provides access to flexible, non-dilutive growth capital of up to $1 million in as fast as one business day, helping e-commerce sellers on these platforms work smarter, grow faster, and live the entrepreneurial dream. Headquartered in New York, USA.",1-10,2.0,M&A,2020-11-11,10000000.0,Venture - Series Unknown,10000000.0,2.0,1-10,Private,,,,,,0,4,2020,2952,True
158,Heading Health,2020-01-01,https://headinghealth.com/,"Austin, Texas, United States","Health Care, Mobile","Health Care, Medical, Mental Health, mHealth, Wellness",13690.0,"Heading Health is a technology-enabled mental health platform improving access to affordable care. It delivers personalized treatment solutions that leverage evidence-based therapeutics and technologies such as Spravato, transcranial magnetic stimulation, telepsychiatry, and intramuscular ketamine.",11-50,10.0,,2023-12-21,0.0,Venture - Series Unknown,9978120.0,4.0,11-50,Private,,,0.0,1,,2,4,2020,156,True
13558,"UNA Health, Inc",2020-02-20,http://www.unahealth.co,"Greensboro, North Carolina, United States","Education, Health Care, Professional Services, Software","Compliance, Health Care, Recruiting, Skill Assessment, Software",97860.0,"UNA is an innovative mobile technology company, creating better ways for hospitals and healthcare employment firms to connect candidates to opportunities, by enhancing recruitment engagement, facilitating compliance workflows and establishing baseline job competencies.",1-10,1.0,,2021-01-18,2500000.0,Convertible Note,2500000.0,1.0,1-10,Private,,,,,,1,4,2020,13043,True
10332,RCRDSHP,2021-01-01,https://app.rcrdshp.com/,"Casper, Wyoming, United States","Media and Entertainment, Music and Audio",Music,73533.0,RCRDSHP is a digital collectibles platform for electronic music.,51-100,2.0,Seed,2021-09-16,5000000.0,Seed,5000000.0,3.0,51-100,Private,,,0.0,8.0,,0,3,2021,10010,True
7001,Felt,2019-07-01,https://feelfelt.com/,"New York, New York, United States","Apps, Health Care, Mobile, Software","Health Care, Mobile Apps, Psychology, Wellness",51304.0,"At Felt (formerly Mine'd), we believe emotional well-being begins with building better relationships with yourself and those around you. We are the first interactive feelings school to help you improve your relationships and navigate life's hardest moments. Through immersive Felt Courses, live coaching and on-demand content, the top therapists, coaches and experts, we'll teach you the relationship skills you never learned in school. ABOUT US We have grown really fast, totally organically (we acquired over 100k users with over one million videos watched in the last 6 months alone!) We also raised a $3.5MM seed round from some amazing investors including Listen Ventures (early VC behind Calm), Jefferey Katzenberg's fund WNDRCO (President of Dreamworks), Able Partners (VC behind Goop, Bumble, Oura Ring, Bulletproof, Daily Harvest), Ed Baker (former VP of Growth at Facebook and Uber), Jillionaire from Major Lazer, and more. ABOUT OUR TEAM Our team cares deeply about celebrating emotional wellness and breaking the rules while doing it to drive more access. We are constantly working to push the norm and reinvent how folks think about and interact with emotional health support. We lead with compassion and curiosity, work hard but celebrate in the process, and love strong opinions balanced with strong collaboration. We have a diverse, world-class team. Some of us come from reputable enterprises in tech and media while others are self-made personal growth experts. We create deep and meaningful connections and relationships with everyone in the company as we are all building Mine'd together. Mine'd is a meritocracy founded in collaboration and innovative minds. Come join us in our mission is to celebrate emotional and relational wellness. The company was founded in 2019 and is headquartered in New York.",1-10,3.0,Seed,2021-11-01,3500000.0,Seed,4120000.0,2.0,1-10,Private,,,0.0,7.0,,0,4,2019,6831,True
6043,ImmunoVec,2019-01-01,https://www.immunovec.com/,"Santa Monica, California, United States","Biotechnology, Health Care, Science and Engineering","Biotechnology, Genetics, Health Care, Medical",45427.0,ImmunoVec develops gene therapy treatments to cure terminal genetic diseases of the immune system. Its gene therapy is intended for hematopoietic diseases.,1-10,1.0,,2022-03-01,4298958.0,Venture - Series Unknown,4298958.0,3.0,1-10,Private,,,,,,1,5,2019,5904,True
5310,Payverse,2022-03-01,https://www.payverse.com/,"Los Angeles, California, United States","Financial Services, Software","Financial Services, FinTech, PaaS",41052.0,"Payverse is a payments processor that focuses on enabling global commerce through emerging technologies. Leveraging its UnionPay International direct connection, Payverse enables global commerce and payment acceptance for billions of UnionPay cards for U.S. merchants, including debit, credit, and prepaid cards. Payverse also designed and built a comprehensive payments platform that supports every aspect of the customer lifecycle, specializing in global e-commerce payment acceptance (not limited to UnionPay International). Our end-to-end lifecycle management solution spans the sales process, onboarding, risk management, transaction processing, funding, statements, and reporting. All of this with the power of choice for our customers.  The Payverse platform is scalable--from a turnkey API-friendly solution to a white-label, full-scale operations solution, we've thought of everything our clients need across several channels including UnionPay International members, payment processors, direct merchants, ISV/tech partners, ISO agents, and wholesale ISOs. Payverse is currently working on solutions to implement other technologies into the current product and service offerings including B2B payments, remittance, BNPL, and cryptocurrency processing.",11-50,2.0,,2022-08-10,0.0,Venture - Series Unknown,3000000.0,3.0,11-50,Private,,,,,,2,2,2022,5199,True
5238,CenterBook Partners,2020-01-01,https://centerbook.com/,"Greenwich, Connecticut, United States","Financial Services, Information Technology, Lending and Investments, Software","Impact Investing, Information Technology, Software",40611.0,"CenterBook Partners is a platform that integrates the best of fundamental, systematic, and multi-manager investing. CenterBook believes that integrating the uniquely human skill of evaluating equities with the superior computational power and consistency of machines represents the next frontier for the investment management industry. CenterBook’s Centaur investment strategies are named after the chess “Centaur” strategy that combines human chess champions with computers running chess software to outperform each individually.",11-50,2.0,,2023-06-30,6900000.0,Venture - Series Unknown,11833000.0,,11-50,Private,,,,,,1,4,2020,5130,True
1286,Forum Health,2019-01-01,https://www.forumhealth.com/,"Flint, Michigan, United States","Food and Beverage, Health Care","Alternative Medicine, Dietary Supplements, Health Care, Medical",19381.0,"Forum Health is a provider of precision health services, they practitioners take a new approach to patient health and wellness, integrating advanced modern medicine with the powerful principles of functional medicine. Forum's network of physicians is bolstered by its Power2Practice® electronic medical record (EMR) platform and Inwell Biosciences supplement line. Forum is redefining healthcare — harnessing the power of technology, clinical innovation, and patient engagement.",251-500,4.0,Early Stage Venture,2022-09-01,0.0,Series B,14200000.0,2.0,251-500,Private,,,,,,1,5,2019,1261,True
11695,Accelerist,2020-01-01,http://accelerist.com,"Austin, Texas, United States","Financial Services, Software","Finance, Software",83595.0,"Accelerist's mission is to connect companies and causes. In order to achieve this simple mission, they must always keep their platform smart, thoughtful and relevant to their users. How they do that is deeply rooted in advanced technology, prescriptive methodologies and more data than any of us can handle.",11-50,2.0,,2020-12-14,1000000.0,Venture - Series Unknown,1000000.0,1.0,11-50,Private,,,0.0,2.0,,1,4,2020,11295,True
7550,HoneyGrid,2023-01-01,https://honeygrid.ai/,"Heber City, Utah, United States","Artificial Intelligence (AI), Data and Analytics, Navigation and Mapping, Science and Engineering, Software","Artificial Intelligence (AI), Geospatial, SaaS",54649.0,,1-10,1.0,Seed,2023-08-29,604757.0,Seed,604757.0,,1-10,Private,,,,,,0,1,2023,7356,True
12620,CoraVie Medical,2020-04-17,https://www.coraviemedical.com,"Minneapolis, Minnesota, United States","Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Medical Device",90598.0,"CoraVie Medical is a medical device startup in its early stages that is changing the way blood pressure is monitored for millions of patients who have uncontrolled hypertension and are at high risk of an adverse event such as kidney failure, stroke, or heart failure. CoraVie Medical's gadget will be the first to deliver early actionable insights to enable cost-effective therapies, drive behaviors, and assist in maintaining appropriate blood pressure levels.",1-10,4.0,Seed,2022-07-29,275000.0,Grant,1985000.0,1.0,1-10,Private,,,,,,0,3,2020,12162,True
3373,Vocalis Health,2019-01-01,http://vocalishealth.com/,"Boston, Massachusetts, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Health Care, Machine Learning, Medical Device",30316.0,"Vocalis Health will develop an artificial intelligence (AI)-based platform that analyses voice to assess the health status of a person.The technology facilitates healthcare providers to remotely interact with patients for screening and monitoring patients with a variety of voice-affecting diseases,including chronic respiratory or cardiac conditions or depression.Beyond Verbal Communication and Healthymize merged and formed Vocalis Health.",11-50,1.0,,2019-12-12,9000000.0,Venture - Series Unknown,9000000.0,3.0,11-50,Private,,,,,,1,5,2019,3309,True
6117,Farm,2021-01-01,https://farmland.fi,"Fort Collins, Colorado, United States","Agriculture and Farming, Energy, Financial Services, Internet Services, Real Estate, Sustainability","Agriculture, AgTech, Internet, Real Estate Investment, Renewable Energy",45861.0,Farm is an investment platform focused on agricultural land. Our mission is to increase the number of healthy and productive acres.,1-10,1.0,Seed,2021-12-10,920000.0,Pre-Seed,920000.0,1.0,1-10,Private,,,,,,0,3,2021,5977,True
1552,Talus Bio,2020-09-01,https://www.talus.bio,"Seattle, Washington, United States","Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Therapeutics",20793.0,Talus Bio is a drug discovery biotech startup working on drug development for gene regulators. The company is building a data-enabled platform that focuses primarily on small molecule drug development in oncology.,1-10,6.0,Seed,2023-08-18,4300000.0,Grant,14305831.0,2.0,1-10,Private,,,,,,0,3,2020,1522,True
17357,SQUAREAT,2020-01-01,https://squareat.com/,"Miami Beach, Florida, United States","Food and Beverage, Transportation","Food and Beverage, Food Delivery, Organic Food",130324.0,SQUAREAT is a food startup that prepares recipes reduced to individual squares that are cooked at very low temperatures and last longer. They use high-quality and healthy ingredients. SQUAREAT is approved by the FDA.,1-10,2.0,Seed,2022-03-22,250000.0,Seed,350000.0,4.0,1-10,Private,,,0.0,1.0,,0,4,2020,16537,True
12430,Bindle Systems,2020-06-22,https://bindlesystems.com/,"Katonah, New York, United States",Software,Software,89166.0,"Bindle empowers you to manage your own health information. With hundreds of credential ""issuers"" (CVS, Rite Aid, Walmart, etc.), hundreds of credential ""verifiers"" (venues, offices, and schools), and hundreds of thousands of individual users, the company established itself as a market leader in this sector.",11-50,2.0,,2022-01-15,0.0,Venture - Series Unknown,3000000.0,6.0,11-50,Private,,,,,,2,3,2020,11980,True
1485,Rezonate,2022-01-01,https://www.rezonate.io/,"Boston, Massachusetts, United States","Hardware, Information Technology, Internet Services, Privacy and Security, Software","Cloud Infrastructure, Cloud Security, Cyber Security, Security, Software",20380.0,"Rezonate is a platform for protecting cloud identity access to resources and infrastructure. In order to prevent and halt assaults in their early phases, the company identifies, analyzes, profiles, and defends every identity, user, and resource in all of the users' clouds in real time.",11-50,1.0,Seed,2022-12-06,8700000.0,Seed,8700000.0,2.0,11-50,Private,,,,,,0,2,2022,1457,True
5865,PlantBaby,2020-01-01,https://www.plantbaby.co,"Hawaii National Park, Hawaii, United States","Food and Beverage, Health Care, Sustainability","Food and Beverage, Nutrition, Organic, Plant-Based Foods",44446.0,"PlantBaby provides plant-based food and beverages for families on the nutritional journey from birth to adulthood. Their products are free from dairy, gluten, refined sugar, GMOs, preservatives, artificial, natural flavors, and glyphosate.",1-10,2.0,Seed,2022-06-22,4000000.0,Seed,4000000.0,2.0,1-10,Private,,,,,,0,4,2020,5735,True
11217,Petri Bio,2019-01-01,https://petribio.com/,"Los Angeles, California, United States","Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Therapeutics",80211.0,Petri Bio is a biotechnology company that develops therapeutics from gut microbes.,1-10,1.0,Seed,2021-10-07,255000.0,Seed,255000.0,1.0,1-10,Private,,,,,,0,5,2019,10841,True
6546,Noriware,2022-01-01,https://www.noriware.com,"Sweden, South Carolina, United States","Administrative Services, Biotechnology, Natural Resources, Science and Engineering","Biotechnology, Packaging Services, Water",48562.0,"Noriware created a seaweed-based packaging film that is entirely composed of natural materials. The raw material seaweed's growth has a negative carbon footprint, with the final product being home-compostable in a revolutionary time frame and thus leaving no residual waste behind.",1-10,1.0,Seed,2023-07-03,1116134.0,Angel,1116135.0,,1-10,Private,,,,,,0,2,2022,6392,True
6119,Regal.io,2020-01-01,https://www.regal.io,"New York, New York, United States","Information Technology, Internet Services, Messaging and Telecommunications, Sales and Marketing, Software","Enterprise Software, Marketing Automation, Sales Automation, SMS, Software",45869.0,"Regal is the cloud contact center for customer engagement. Regal’s cross-channel orchestration of phone, sms, email and chat conversations empowers your contact center to drive better results from sales, and prevent customer churn. Switch your outbound contact center to Regal and drive 25% more revenue — fast. It was founded in 2020 and headquartered in New York, United States.",101-250,2.0,Early Stage Venture,2022-09-07,38500000.0,Series A,42100000.0,2.0,101-250,Private,,,0,2.0,,0,4,2020,5979,True
12114,Sofia Family,2019-01-01,https://www.sofiafamily.com,"Denver, Colorado, United States","Community and Lifestyle, Hardware, Other, Software","Children, Consumer, Family, Hardware, SaaS",86959.0,"Sofia Family empowers families to thrive in the digital world. It is a combined SaaS and hardware solution that empowers parents to simply and effectively manage their kids’ digital activity across every device they use. It aims to help kids to make increasingly wise decisions regarding their digital engagement. Founded in 2019, Sofia Family is headquartered in Denver, Colorado.",1-10,3.0,,2021-07-09,1147952.0,Venture - Series Unknown,1699202.0,2.0,1-10,Private,,,,,,1,5,2019,11687,True
6482,"Pharus Diagnostics (Pharus, Inc.)",2022-01-01,https://pharusdx.com,"Los Angeles, California, United States",Health Care,"Health Care, Medical Device",48119.0,Innovative Early Cancer Screening using non-invasive liquid biopsy,11-50,1.0,Early Stage Venture,2022-07-26,11000000.0,Series A,11000000.0,1.0,11-50,Private,,,,,,0,2,2022,6329,True
